Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,90.18,90.480003,89.290001,89.309998,1754500,88.364917
2014-12-30,90.50,90.839996,89.989998,90.190002,1721900,89.235609
2014-12-29,90.900002,91.050003,90.239998,90.519997,1994000,89.562111
2014-12-26,91.400002,91.720001,91.18,91.260002,1194000,90.294286
2014-12-24,91.480003,91.940002,91.309998,91.32,914900,90.353649
2014-12-23,91.349998,91.75,90.699997,91.419998,2148500,90.452589
2014-12-22,90.080002,91.25,89.769997,91.18,2986500,90.215131
2014-12-19,90.150002,91.360001,89.639999,90.510002,6480600,89.552223
2014-12-18,88.120003,90.989998,87.790001,89.739998,8918400,88.790367
2014-12-17,83.00,85.309998,82.849998,85.300003,5081000,84.397356
2014-12-16,82.00,84.220001,81.660004,82.870003,4386500,81.99307
2014-12-15,82.129997,82.849998,81.690002,81.879997,3154600,81.013541
2014-12-12,83.410004,83.470001,81.860001,81.900002,2784800,81.033333
2014-12-11,84.379997,85.43,83.68,83.879997,2369300,82.992377
2014-12-10,85.199997,85.309998,83.620003,83.730003,1967700,82.84397
2014-12-09,84.169998,85.220001,83.989998,85.18,1652900,84.278623
2014-12-08,86.160004,86.160004,84.769997,84.970001,2179100,84.070846
2014-12-05,86.309998,86.489998,86.080002,86.190002,2229900,85.277937
2014-12-04,86.410004,86.559998,85.93,86.339996,1724400,85.426344
2014-12-03,86.400002,86.599998,85.779999,86.519997,1728400,85.604439
2014-12-02,85.849998,86.220001,85.25,85.980003,2504200,85.07016
2014-12-01,85.879997,87.080002,85.610001,86.00,2743600,85.089945
