Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,60.830002,61.23,60.009998,60.060001,1899200,60.060001
2014-12-30,60.240002,60.919998,60.18,60.509998,1226100,60.509998
2014-12-29,60.830002,60.98,60.32,60.759998,648100,60.759998
2014-12-26,60.919998,61.509998,60.889999,61.029999,676000,61.029999
2014-12-24,60.77,61.34,60.529999,60.990002,355500,60.990002
2014-12-23,60.34,60.98,59.990002,60.650002,1049700,60.650002
2014-12-22,60.02,60.66,59.700001,60.189999,849500,60.189999
2014-12-19,59.490002,60.34,59.360001,59.900002,3121300,59.900002
2014-12-18,57.919998,59.470001,57.380001,59.459999,2267100,59.459999
2014-12-17,56.50,57.169998,56.119999,57.009998,1507300,57.009998
2014-12-16,57.07,57.849998,56.470001,56.630001,2648600,56.630001
2014-12-15,59.119999,59.73,58.209999,58.209999,1968100,58.209999
2014-12-12,58.700001,59.599998,58.450001,58.880001,1536100,58.880001
2014-12-11,59.25,60.139999,58.68,58.82,922700,58.82
2014-12-10,59.68,60.139999,58.810001,58.91,1353100,58.91
2014-12-09,59.48,60.330002,59.130001,60.169998,1111100,60.169998
2014-12-08,60.27,61.080002,59.919998,60.099998,1464000,60.099998
2014-12-05,61.130001,61.419998,60.650002,60.900002,1190700,60.900002
2014-12-04,61.139999,61.529999,60.830002,61.09,1019900,61.09
2014-12-03,60.540001,61.48,60.540001,61.450001,1514300,61.450001
2014-12-02,60.50,61.130001,60.220001,60.740002,1787600,60.740002
2014-12-01,61.720001,61.970001,60.50,60.509998,1543300,60.509998
