Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,14.03,14.03,13.75,13.77,3758600,13.55622
2014-12-30,14.34,14.36,13.93,14.02,4318100,13.802339
2014-12-29,14.22,14.49,14.19,14.37,3447400,14.146904
2014-12-26,13.86,14.29,13.86,14.22,4212300,13.999233
2014-12-24,13.66,13.85,13.62,13.81,2828400,13.595599
2014-12-23,13.72,13.93,13.64,13.65,5016900,13.438082
2014-12-22,13.50,13.68,13.38,13.66,4936900,13.447927
2014-12-19,13.25,13.60,13.23,13.50,8470300,13.290411
2014-12-18,13.25,13.31,13.03,13.21,7685200,13.004913
2014-12-17,12.85,13.17,12.85,13.13,10045600,12.926156
2014-12-16,13.01,13.29,12.78,12.79,8188200,12.591434
2014-12-15,13.70,13.72,12.88,13.01,9109000,12.808019
2014-12-12,13.14,13.46,13.10,13.29,5028400,13.083671
2014-12-11,13.37,13.47,13.16,13.21,5694100,13.004913
2014-12-10,13.83,13.86,13.30,13.36,6243700,13.152584
2014-12-09,13.47,13.87,13.47,13.86,5716300,13.644822
2014-12-08,13.65,13.74,13.48,13.60,7063500,13.388859
2014-12-05,13.62,13.78,13.56,13.68,5064700,13.467617
2014-12-04,13.82,13.87,13.61,13.74,3588100,13.526685
2014-12-03,13.81,14.00,13.47,13.81,10515900,13.595599
2014-12-02,13.51,13.91,13.40,13.84,6607700,13.625133
2014-12-01,13.80,13.89,13.65,13.65,4832800,13.438082
