Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,62.060001,62.169998,61.049999,61.09,1636800,60.332832
2014-12-30,61.75,62.299999,61.619999,61.98,968500,61.2118
2014-12-29,61.91,62.459999,61.709999,62.00,1173600,61.231553
2014-12-26,62.00,62.209999,61.889999,61.939999,931000,61.172295
2014-12-24,62.00,62.299999,61.669998,61.939999,809800,61.172295
2014-12-23,61.720001,62.16,61.540001,61.939999,1630400,61.172295
2014-12-22,61.330002,61.669998,61.150002,61.66,2451000,60.895767
2014-12-19,60.279999,61.34,60.27,61.18,3442500,60.421716
2014-12-18,59.75,60.32,59.50,60.32,2400300,59.572375
2014-12-17,58.040001,59.16,57.970001,59.07,2978400,58.337868
2014-12-16,57.209999,58.82,57.049999,57.810001,3324500,57.093486
2014-12-15,58.389999,58.52,57.369999,57.529999,2895700,56.816954
2014-12-12,59.09,59.439999,58.25,58.279999,2811500,57.557658
2014-12-11,59.529999,59.950001,59.450001,59.57,2053500,58.831671
2014-12-10,59.509998,60.220001,59.400002,59.439999,3103400,58.703281
2014-12-09,59.290001,59.98,59.099998,59.790001,2291600,59.048945
2014-12-08,59.50,60.189999,59.27,59.98,2202300,59.236589
2014-12-05,59.529999,59.75,59.259998,59.509998,1923300,58.772413
2014-12-04,59.720001,59.720001,59.00,59.43,1495800,58.693407
2014-12-03,59.580002,60.029999,59.369999,59.700001,1431000,58.960061
2014-12-02,59.310001,59.68,59.259998,59.619999,1608100,58.88105
2014-12-01,59.580002,59.610001,59.099998,59.27,1769100,58.53539
