Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,185.809998,188.119995,184.449997,185.029999,1569800,185.029999
2014-12-30,187.449997,188.240005,184.350006,184.940002,678800,184.940002
2014-12-29,188.110001,189.429993,185.929993,188.710007,862200,188.710007
2014-12-26,182.800003,187.839996,182.229996,187.490005,645500,187.490005
2014-12-24,179.350006,185.779999,179.339996,181.960007,433700,181.960007
2014-12-23,189.240005,189.889999,176.610001,178.869995,2354000,178.869995
2014-12-22,189.330002,189.970001,184.860001,188.149994,945700,188.149994
2014-12-19,189.039993,191.559998,187.679993,189.529999,2088300,189.529999
2014-12-18,185.889999,189.009995,184.00,188.960007,1291500,188.960007
2014-12-17,178.779999,182.820007,176.009995,182.080002,1953700,182.080002
2014-12-16,181.360001,184.440002,177.160004,177.729996,1930600,177.729996
2014-12-15,188.059998,190.220001,183.020004,183.210007,1375300,183.210007
2014-12-12,188.509995,191.960007,186.580002,186.899994,1039400,186.899994
2014-12-11,194.059998,197.320007,190.160004,191.619995,1038400,191.619995
2014-12-10,197.600006,198.710007,191.00,191.440002,1476400,191.440002
2014-12-09,194.570007,200.059998,192.00,199.779999,1027100,199.779999
2014-12-08,198.419998,200.850006,196.029999,197.130005,993500,197.130005
2014-12-05,197.740005,198.880005,195.580002,198.610001,627900,198.610001
2014-12-04,196.25,199.970001,195.550003,197.660004,511400,197.660004
2014-12-03,201.25,203.300003,194.619995,198.880005,1126800,198.880005
2014-12-02,193.070007,202.039993,193.070007,200.789993,1828500,200.789993
2014-12-01,194.649994,195.679993,191.130005,192.509995,826800,192.509995
