Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,214.649994,215.240005,212.110001,212.240005,244300,212.240005
2014-12-30,214.029999,214.919998,212.910004,213.330002,282900,213.330002
2014-12-29,213.50,215.429993,212.529999,214.190002,176200,214.190002
2014-12-26,213.830002,215.520004,213.559998,213.759995,177500,213.759995
2014-12-24,214.110001,215.770004,212.919998,213.800003,117200,213.800003
2014-12-23,214.539993,216.490005,213.970001,214.070007,216800,214.070007
2014-12-22,212.990005,213.800003,210.960007,213.759995,284900,213.759995
2014-12-19,213.649994,214.089996,208.070007,211.160004,650000,211.160004
2014-12-18,206.699997,212.259995,206.00,212.130005,571300,212.130005
2014-12-17,191.600006,202.940002,191.169998,202.539993,961600,202.539993
2014-12-16,191.440002,193.979996,189.25,189.529999,623500,189.529999
2014-12-15,196.619995,198.270004,191.860001,193.259995,410400,193.259995
2014-12-12,202.279999,203.00,194.770004,194.800003,567500,194.800003
2014-12-11,203.830002,205.509995,201.800003,203.820007,567100,203.820007
2014-12-10,205.800003,206.830002,201.690002,201.979996,420000,201.979996
2014-12-09,203.190002,206.309998,202.460007,206.089996,320900,206.089996
2014-12-08,206.580002,209.25,205.380005,206.289993,469200,206.289993
2014-12-05,203.529999,206.240005,203.119995,206.00,275200,206.00
2014-12-04,203.649994,203.649994,201.389999,202.850006,296300,202.850006
2014-12-03,201.270004,203.889999,200.880005,203.630005,395900,203.630005
2014-12-02,201.610001,203.039993,200.929993,202.130005,572300,202.130005
2014-12-01,201.940002,203.130005,198.75,201.940002,523000,201.940002
