Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,166.759995,167.610001,163.199997,163.389999,552200,160.973647
2014-12-30,166.949997,167.910004,165.860001,166.160004,548700,163.702686
2014-12-29,166.240005,167.559998,165.460007,167.440002,605600,164.963755
2014-12-26,167.300003,167.789993,166.759995,167.440002,394900,163.820912
2014-12-24,167.910004,168.589996,166.470001,166.949997,292500,163.341497
2014-12-23,169.630005,170.139999,167.360001,168.220001,1012500,164.584051
2014-12-22,166.289993,169.320007,166.279999,169.199997,750300,165.542865
2014-12-19,166.600006,166.669998,164.970001,165.600006,1650100,162.020686
2014-12-18,165.75,166.619995,164.990005,165.889999,942900,162.304411
2014-12-17,162.100006,165.880005,161.940002,164.899994,918100,161.335804
2014-12-16,162.160004,162.869995,159.639999,161.089996,1089500,157.608156
2014-12-15,163.179993,164.419998,161.160004,161.979996,749400,158.478919
2014-12-12,163.869995,166.00,162.839996,162.960007,751000,159.437748
2014-12-11,165.00,165.289993,163.669998,164.309998,686000,160.75856
2014-12-10,162.869995,165.160004,162.869995,164.639999,640300,161.081429
2014-12-09,161.910004,164.449997,161.699997,163.190002,456500,159.662772
2014-12-08,161.00,163.470001,161.00,162.940002,694800,159.418176
2014-12-05,161.199997,161.270004,159.300003,160.619995,889300,157.148314
2014-12-04,161.919998,162.220001,161.139999,162.020004,600300,158.518063
2014-12-03,162.169998,162.220001,160.50,161.580002,530900,158.087571
2014-12-02,161.440002,162.470001,160.770004,162.160004,546300,158.655036
2014-12-01,160.820007,163.570007,160.320007,161.720001,702200,158.224544
