Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,94.650002,94.75,93.00,93.040001,2306200,92.113401
2014-12-30,94.230003,94.459999,94.029999,94.269997,1425100,93.331147
2014-12-29,94.00,94.889999,94.00,94.269997,1483000,93.331147
2014-12-26,94.199997,94.800003,94.199997,94.290001,1439900,93.350952
2014-12-24,93.959999,94.790001,93.959999,94.080002,1321500,93.143044
2014-12-23,93.699997,94.279999,93.650002,93.82,2864800,92.885631
2014-12-22,92.989998,93.660004,92.830002,93.620003,2910800,92.687626
2014-12-19,92.959999,93.910004,92.349998,92.900002,7170300,91.974795
2014-12-18,91.699997,93.209999,91.489998,93.169998,4554200,92.242103
2014-12-17,88.559998,90.57,88.339996,90.440002,5204400,89.539296
2014-12-16,89.370003,90.790001,88.190002,88.239998,4948800,87.361201
2014-12-15,91.440002,91.580002,89.150002,90.040001,4766700,89.143278
2014-12-12,92.400002,93.019997,90.940002,91.00,4480300,90.093716
2014-12-11,93.110001,94.620003,92.949997,93.129997,4419100,92.202501
2014-12-10,92.860001,93.690002,92.559998,92.75,4658000,91.826288
2014-12-09,92.190002,93.400002,91.980003,93.360001,4069100,92.430213
2014-12-08,92.68,93.889999,92.400002,93.559998,4467600,92.628218
2014-12-05,92.290001,92.860001,92.050003,92.650002,2872600,91.727285
2014-12-04,91.849998,91.849998,91.190002,91.830002,3991000,90.915452
2014-12-03,92.610001,93.120003,91.050003,91.25,5911100,90.341227
2014-12-02,92.599998,93.00,92.32,93.00,3108100,92.073798
2014-12-01,92.07,92.629997,91.660004,92.139999,3343000,91.222362
