Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,39.34,39.610001,38.959999,38.98,2844100,38.029798
2014-12-30,39.380001,39.689999,39.049999,39.380001,3421800,38.420049
2014-12-29,38.869999,39.25,38.23,39.080002,4982000,38.127363
2014-12-26,39.240002,39.57,39.099998,39.139999,2646300,38.185898
2014-12-24,39.66,39.919998,38.799999,38.889999,2835100,37.941992
2014-12-23,39.23,40.029999,38.93,39.689999,6225900,38.72249
2014-12-22,39.110001,39.419998,38.119999,39.23,4839900,38.273704
2014-12-19,38.59,39.099998,38.279999,39.009998,6713500,38.059066
2014-12-18,37.970001,38.869999,37.830002,38.48,5846000,37.541987
2014-12-17,35.93,37.580002,35.779999,37.470001,5004700,36.556609
2014-12-16,36.59,37.240002,35.759998,35.77,4795900,34.898048
2014-12-15,37.099998,37.419998,36.540001,36.91,4230200,36.010258
2014-12-12,36.599998,37.470001,36.41,36.849998,5028000,35.95172
2014-12-11,36.32,37.360001,36.099998,36.630001,4168300,35.737085
2014-12-10,36.360001,36.91,35.959999,36.00,4705400,35.122441
2014-12-09,35.849998,36.560001,35.450001,36.470001,4435200,35.580985
2014-12-08,35.43,36.720001,35.25,36.59,7404500,35.512691
2014-12-05,36.049999,36.099998,35.310001,35.630001,5088800,34.580957
2014-12-04,36.75,36.91,35.900002,36.080002,5701700,35.017708
2014-12-03,37.25,37.50,35.169998,36.040001,14809000,34.978885
2014-12-02,37.360001,38.02,37.009998,37.200001,7263900,36.104731
2014-12-01,38.869999,39.009998,36.860001,37.259998,10456500,36.162962
