Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,55.759998,56.630001,55.150002,56.07,3202200,55.770042
2014-12-30,57.09,57.189999,56.27,56.290001,2947700,55.988867
2014-12-29,56.279999,57.299999,56.279999,56.700001,2804200,56.396673
2014-12-26,56.84,57.009998,56.119999,56.330002,2180900,56.028653
2014-12-24,56.09,56.68,55.610001,56.34,2094800,56.038598
2014-12-23,56.18,56.59,55.77,56.439999,4887600,56.138062
2014-12-22,56.919998,57.029999,55.869999,56.060001,4514000,55.760097
2014-12-19,56.220001,57.57,56.00,57.150002,8514800,56.844266
2014-12-18,57.41,57.82,54.830002,55.77,9241700,55.471648
2014-12-17,55.049999,57.50,54.52,56.349998,8720800,56.048543
2014-12-16,54.470001,57.029999,54.16,55.150002,6084400,54.854966
2014-12-15,55.639999,56.09,54.810001,54.93,5332500,54.636142
2014-12-12,55.009998,55.82,54.689999,54.990002,5846800,54.695822
2014-12-11,55.400002,56.560001,55.259998,55.77,4410800,55.471648
2014-12-10,55.599998,56.150002,55.150002,55.34,9138200,55.043948
2014-12-09,54.560001,56.75,54.419998,56.709999,9075800,56.406618
2014-12-08,56.220001,56.630001,55.02,55.240002,8272300,54.944484
2014-12-05,57.77,57.919998,56.43,57.02,4311700,56.714961
2014-12-04,56.970001,58.400002,56.73,57.610001,5719600,57.301805
2014-12-03,57.810001,58.669998,57.27,57.529999,8447800,57.222231
2014-12-02,56.73,57.290001,56.060001,56.75,9830100,56.446405
2014-12-01,56.50,57.25,55.57,56.509998,10837100,56.207687
