Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,82.150002,82.419998,80.660004,80.730003,787600,80.060863
2014-12-30,81.050003,81.910004,81.050003,81.82,1264800,81.141825
2014-12-29,81.589996,81.919998,81.029999,81.150002,2066700,80.137224
2014-12-26,82.370003,82.510002,81.559998,81.839996,1408000,80.818607
2014-12-24,82.110001,82.589996,81.849998,82.07,478400,81.04574
2014-12-23,83.18,83.199997,81.540001,81.919998,1346700,80.89761
2014-12-22,82.919998,83.400002,82.720001,83.00,1216300,81.964134
2014-12-19,82.809998,83.379997,82.209999,83.040001,2586700,82.003635
2014-12-18,81.220001,82.410004,80.849998,82.410004,1642300,81.381501
2014-12-17,79.360001,80.889999,79.029999,80.650002,1705000,79.643464
2014-12-16,79.639999,81.419998,79.089996,79.099998,1978500,78.112805
2014-12-15,80.529999,80.529999,79.190002,79.57,1706900,78.576941
2014-12-12,80.150002,80.720001,79.279999,79.300003,1119500,78.310314
2014-12-11,80.839996,81.790001,80.300003,80.470001,1427100,79.46571
2014-12-10,81.389999,81.870003,80.360001,80.480003,1733500,79.475587
2014-12-09,81.57,82.489998,81.010002,81.290001,1527200,80.275476
2014-12-08,82.25,83.360001,82.18,82.489998,1523300,81.460496
2014-12-05,82.150002,82.57,81.989998,82.230003,819800,81.203747
2014-12-04,82.010002,82.260002,81.370003,82.230003,1182500,81.203747
2014-12-03,82.169998,82.480003,81.790001,81.949997,1161600,80.927235
2014-12-02,82.00,82.400002,81.809998,82.129997,1577900,81.104989
2014-12-01,81.809998,82.199997,81.43,82.00,1492200,80.976614
