Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,49.50,50.560001,49.07,49.950001,1501200,49.950001
2014-12-30,50.57,50.98,49.919998,49.93,1582600,49.93
2014-12-29,50.77,51.419998,50.459999,50.810001,1781700,50.810001
2014-12-26,50.450001,50.950001,49.759998,50.59,2330200,50.59
2014-12-24,49.880001,50.389999,49.009998,50.110001,1240200,50.110001
2014-12-23,49.830002,50.330002,49.299999,50.299999,2647700,50.299999
2014-12-22,49.66,49.66,48.41,49.439999,2778300,49.439999
2014-12-19,48.150002,50.299999,47.810001,50.209999,5947500,50.209999
2014-12-18,48.310001,48.709999,46.700001,47.75,3608700,47.75
2014-12-17,45.66,47.93,45.610001,46.950001,3960200,46.950001
2014-12-16,44.869999,47.389999,44.43,45.599998,3495900,45.599998
2014-12-15,46.040001,46.509998,45.299999,45.330002,3335700,45.330002
2014-12-12,45.889999,46.650002,45.549999,45.619999,3726900,45.619999
2014-12-11,47.48,48.400002,46.490002,46.59,3662700,46.59
2014-12-10,48.060001,48.470001,47.279999,47.540001,3749100,47.540001
2014-12-09,47.459999,49.07,47.310001,49.02,4192100,49.02
2014-12-08,49.049999,49.66,47.139999,47.310001,4655100,47.310001
2014-12-05,51.110001,51.259998,49.889999,50.09,3820500,50.09
2014-12-04,50.830002,51.84,50.43,51.130001,3214100,51.130001
2014-12-03,49.880001,51.669998,49.75,51.25,5160500,51.25
2014-12-02,49.610001,50.419998,48.880001,49.849998,4725400,49.849998
2014-12-01,50.630001,51.07,48.389999,49.779999,6104300,49.779999
