Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,92.889999,93.57,91.449997,91.529999,3251100,89.215559
2014-12-30,93.599998,93.629997,92.510002,92.589996,3197400,90.248753
2014-12-29,94.199997,94.279999,93.589996,93.709999,2390500,91.340435
2014-12-26,93.949997,94.660004,93.720001,94.230003,3120000,91.84729
2014-12-24,93.639999,93.980003,93.269997,93.720001,1654200,91.350184
2014-12-23,92.989998,93.940002,92.650002,93.50,3554200,91.135746
2014-12-22,92.459999,92.809998,91.849998,92.32,4577200,89.985583
2014-12-19,91.580002,91.980003,90.879997,91.709999,9689200,89.391007
2014-12-18,91.889999,91.889999,90.550003,91.690002,8344400,89.371516
2014-12-17,89.400002,90.139999,88.029999,89.75,8671600,87.480569
2014-12-16,89.230003,92.25,89.150002,89.339996,7649500,87.080933
2014-12-15,91.25,91.290001,89.389999,89.75,6924100,87.480569
2014-12-12,92.00,92.00,89.959999,90.50,10327200,88.211605
2014-12-11,93.68,94.290001,92.529999,92.690002,4664900,90.34623
2014-12-10,94.910004,95.019997,92.75,93.019997,6749600,90.66788
2014-12-09,94.169998,96.169998,93.800003,95.449997,6562900,93.036435
2014-12-08,98.660004,98.760002,95.199997,95.25,7192100,92.841495
2014-12-05,99.809998,99.959999,98.709999,98.779999,3605000,96.282234
2014-12-04,99.690002,100.870003,99.510002,99.669998,3390100,97.149729
2014-12-03,100.040001,101.459999,99.959999,100.18,6930700,97.646835
2014-12-02,99.480003,99.959999,98.720001,99.510002,3899200,96.993778
2014-12-01,100.239998,100.470001,97.790001,99.00,7431800,96.496672
