Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,104.669998,105.279999,103.449997,103.470001,710500,102.275575
2014-12-30,104.580002,104.839996,104.160004,104.309998,586900,103.105875
2014-12-29,104.050003,105.300003,104.010002,104.559998,478100,103.352989
2014-12-26,104.760002,104.900002,104.379997,104.43,387100,103.224493
2014-12-24,104.690002,104.809998,104.019997,104.370003,531100,103.165188
2014-12-23,103.760002,104.809998,103.540001,104.440002,1052000,103.234379
2014-12-22,103.650002,104.43,103.120003,103.309998,1887300,102.117419
2014-12-19,103.260002,104.220001,103.220001,103.620003,2004400,102.423845
2014-12-18,103.080002,103.370003,102.43,103.370003,1512100,102.176731
2014-12-17,101.419998,102.779999,100.75,102.519997,1271600,101.336537
2014-12-16,101.470001,103.019997,101.019997,101.419998,1076100,99.755008
2014-12-15,102.440002,102.959999,100.699997,101.730003,1216600,100.059923
2014-12-12,102.57,103.540001,101.75,101.839996,833800,100.168111
2014-12-11,103.18,104.269997,102.900002,103.300003,977200,101.604149
2014-12-10,103.690002,104.50,102.720001,102.82,1107700,101.132026
2014-12-09,103.849998,104.629997,103.760002,104.099998,1167300,102.391011
2014-12-08,103.889999,105.279999,103.669998,105.00,1136100,103.276237
2014-12-05,103.68,104.269997,103.410004,103.75,784800,102.046758
2014-12-04,103.510002,103.870003,103.209999,103.610001,711500,101.909057
2014-12-03,103.32,103.690002,103.089996,103.43,888900,101.732012
2014-12-02,102.199997,103.540001,102.199997,103.379997,986000,101.68283
2014-12-01,102.879997,103.779999,102.669998,103.160004,701600,101.466448
