Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,44.869999,44.990002,44.169998,44.220001,1326800,43.672905
2014-12-30,45.27,45.490002,44.82,44.849998,990700,44.295108
2014-12-29,45.029999,45.509998,44.869999,45.349998,842900,44.788922
2014-12-26,45.189999,45.470001,45.119999,45.16,643200,44.601274
2014-12-24,45.400002,45.57,45.09,45.099998,525700,44.542015
2014-12-23,44.849998,45.380001,44.849998,45.330002,1355900,44.769173
2014-12-22,45.009998,45.099998,44.490002,44.650002,2112700,44.097586
2014-12-19,44.540001,45.16,44.419998,44.799999,4073800,44.245728
2014-12-18,43.18,44.41,43.029999,44.290001,3679800,43.742039
2014-12-17,41.900002,42.869999,41.77,42.75,1918600,42.221091
2014-12-16,42.119999,42.970001,41.830002,41.860001,2068000,41.342103
2014-12-15,43.23,43.419998,42.259998,42.360001,2399400,41.835917
2014-12-12,43.880001,44.16,43.150002,43.169998,2375100,42.635893
2014-12-11,43.73,44.619999,43.529999,44.279999,3182400,43.732161
2014-12-10,43.619999,43.889999,43.50,43.740002,2453300,43.198844
2014-12-09,43.18,43.810001,43.150002,43.73,1970500,43.188966
2014-12-08,44.119999,44.18,43.439999,43.580002,2265300,43.040824
2014-12-05,43.59,44.27,43.560001,44.200001,2452600,43.653152
2014-12-04,43.810001,44.049999,43.540001,43.630001,1815500,43.090205
2014-12-03,44.599998,44.700001,43.360001,43.900002,3896100,43.356865
2014-12-02,43.490002,44.560001,43.439999,44.529999,2900400,43.979068
2014-12-01,43.630001,44.029999,43.50,43.509998,1700300,42.971687
