Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,65.529999,65.900002,64.620003,64.660004,960700,64.660004
2014-12-30,65.809998,66.059998,65.269997,65.50,1315700,65.50
2014-12-29,65.57,66.449997,65.43,66.099998,1016200,66.099998
2014-12-26,65.169998,66.160004,64.879997,65.709999,663200,65.709999
2014-12-24,65.529999,65.919998,63.110001,65.099998,428900,65.099998
2014-12-23,65.220001,65.459999,64.809998,65.309998,913100,65.309998
2014-12-22,64.269997,65.139999,64.059998,65.040001,911300,65.040001
2014-12-19,63.610001,64.650002,63.610001,64.370003,2378000,64.370003
2014-12-18,63.360001,63.759998,63.029999,63.73,1660300,63.73
2014-12-17,60.990002,62.610001,60.779999,62.419998,1356700,62.419998
2014-12-16,61.57,62.290001,60.889999,60.970001,1282700,60.970001
2014-12-15,61.740002,62.130001,60.700001,61.59,1263500,61.59
2014-12-12,62.490002,63.240002,61.400002,61.439999,1431500,61.439999
2014-12-11,65.32,65.32,62.919998,63.330002,1093800,63.330002
2014-12-10,63.84,64.129997,62.349998,62.529999,853900,62.529999
2014-12-09,63.310001,64.470001,62.919998,64.209999,835200,64.209999
2014-12-08,63.860001,65.360001,63.459999,63.970001,1091500,63.970001
2014-12-05,64.110001,64.43,63.849998,64.040001,759600,64.040001
2014-12-04,64.059998,64.580002,63.580002,63.880001,605700,63.880001
2014-12-03,64.169998,64.370003,63.619999,64.239998,785300,64.239998
2014-12-02,64.370003,64.68,64.150002,64.400002,780400,64.400002
2014-12-01,64.480003,64.629997,64.110001,64.309998,1131600,64.309998
