Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,105.730003,106.059998,104.139999,104.209999,599200,102.080905
2014-12-30,105.190002,105.910004,105.190002,105.580002,500100,103.422918
2014-12-29,105.25,105.980003,105.150002,105.459999,379400,103.305367
2014-12-26,105.360001,105.980003,105.230003,105.650002,265900,103.491487
2014-12-24,106.150002,106.360001,105.43,105.459999,358000,103.305367
2014-12-23,104.68,106.230003,104.139999,106.080002,798800,103.912702
2014-12-22,104.25,104.720001,103.699997,104.279999,917300,102.149475
2014-12-19,104.160004,104.599998,103.650002,104.410004,1352500,102.276823
2014-12-18,102.800003,103.830002,102.120003,103.82,1040800,101.698874
2014-12-17,100.559998,102.110001,100.120003,102.00,1161400,99.916058
2014-12-16,99.629997,101.040001,98.800003,100.120003,1187200,98.074471
2014-12-15,99.610001,100.309998,99.099998,99.620003,704400,97.584686
2014-12-12,100.239998,101.309998,99.43,99.470001,1111100,97.437749
2014-12-11,99.650002,101.349998,99.650002,100.919998,968200,98.858122
2014-12-10,99.459999,100.190002,99.029999,99.489998,1091800,97.457337
2014-12-09,99.010002,99.580002,98.709999,99.120003,981600,97.094901
2014-12-08,99.00,99.879997,98.699997,99.459999,1246100,97.427951
2014-12-05,99.599998,99.720001,98.300003,98.860001,1629400,96.840211
2014-12-04,99.540001,99.910004,98.290001,99.610001,2177500,97.574888
2014-12-03,100.379997,100.419998,97.849998,99.18,2701500,97.153673
2014-12-02,101.120003,101.419998,100.309998,100.529999,1456900,98.47609
2014-12-01,100.279999,102.199997,100.279999,101.300003,1100500,99.230363
