Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,47.169998,47.290001,46.82,46.84,1653700,46.446825
2014-12-30,46.919998,47.290001,46.549999,47.119999,1838600,46.724474
2014-12-29,46.66,47.48,46.639999,47.310001,1102500,46.912881
2014-12-26,46.650002,47.060001,46.619999,46.810001,902200,46.417078
2014-12-24,46.66,46.799999,46.18,46.599998,730400,46.208838
2014-12-23,46.02,46.689999,46.02,46.470001,1681300,46.079932
2014-12-22,46.34,46.59,45.68,45.93,1624700,45.544464
2014-12-19,46.349998,47.119999,45.93,46.029999,3476100,45.643623
2014-12-18,45.939999,46.59,45.700001,46.369999,2930100,45.980769
2014-12-17,44.169998,45.07,44.040001,45.00,3033500,44.62227
2014-12-16,44.299999,45.200001,43.939999,44.049999,2389400,43.680243
2014-12-15,44.630001,44.939999,43.919998,44.419998,2176900,44.047137
2014-12-12,45.490002,45.549999,44.34,44.369999,3837600,43.997557
2014-12-11,46.389999,46.740002,45.759998,45.889999,1932900,45.504799
2014-12-10,47.32,47.619999,46.139999,46.279999,3028600,45.693205
2014-12-09,46.66,47.599998,46.169998,47.560001,2020100,46.956978
2014-12-08,47.799999,48.169998,46.900002,47.279999,3490800,46.680525
2014-12-05,47.639999,48.889999,47.509998,48.200001,2626600,47.588862
2014-12-04,46.740002,47.25,46.540001,47.200001,1552900,46.601542
2014-12-03,46.34,47.16,46.27,46.869999,2442500,46.275724
2014-12-02,45.439999,46.689999,45.439999,46.43,3015900,45.841304
2014-12-01,46.220001,46.419998,44.68,45.23,4306600,44.656518
