Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,23.870001,23.90,23.389999,23.43,2303100,22.887926
2014-12-30,24.299999,24.379999,23.799999,23.82,2260600,23.268903
2014-12-29,23.93,24.35,23.93,24.290001,2916200,23.72803
2014-12-26,23.809999,24.110001,23.799999,23.93,2806900,23.376358
2014-12-24,23.450001,23.799999,23.43,23.76,1894200,23.210291
2014-12-23,23.370001,23.549999,23.290001,23.450001,2715900,22.907464
2014-12-22,23.110001,23.290001,22.879999,23.27,3546000,22.731628
2014-12-19,23.08,23.23,22.91,23.10,6554700,22.565561
2014-12-18,22.549999,23.00,22.49,23.00,4709000,22.467874
2014-12-17,21.860001,22.530001,21.700001,22.49,5405400,21.969673
2014-12-16,21.530001,22.25,21.41,21.709999,5647900,21.207719
2014-12-15,22.07,22.120001,21.48,21.540001,5500300,21.041654
2014-12-12,22.51,22.59,22.00,22.00,5688700,21.49101
2014-12-11,22.700001,23.00,22.559999,22.58,4688400,22.057591
2014-12-10,23.43,23.48,22.52,22.65,6864200,22.125971
2014-12-09,23.190001,23.60,23.190001,23.450001,3913300,22.907464
2014-12-08,23.52,23.83,23.209999,23.299999,4249200,22.760933
2014-12-05,23.74,23.93,23.48,23.549999,3944600,23.005149
2014-12-04,24.059999,24.17,23.870001,23.92,4794300,23.366589
2014-12-03,23.809999,24.15,23.76,24.09,3590000,23.532656
2014-12-02,23.469999,23.90,23.41,23.77,5478200,23.22006
2014-12-01,23.85,23.879999,23.40,23.50,5473000,22.956306
