Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,59.389999,60.23,59.220001,59.310001,3232000,59.310001
2014-12-30,60.259998,60.82,59.009998,59.43,2777100,59.43
2014-12-29,60.41,60.93,60.02,60.349998,2632500,60.349998
2014-12-26,60.459999,61.099998,59.919998,60.799999,3454700,60.799999
2014-12-24,60.529999,60.880001,60.09,60.330002,2309500,60.330002
2014-12-23,60.00,60.860001,59.880001,60.50,3404100,60.50
2014-12-22,59.93,60.490002,59.450001,59.860001,5297700,59.860001
2014-12-19,59.610001,60.48,59.310001,59.860001,9550200,59.860001
2014-12-18,58.490002,59.580002,58.310001,59.330002,11006500,59.330002
2014-12-17,54.189999,57.25,54.09,57.00,9257500,57.00
2014-12-16,54.360001,55.669998,53.75,53.790001,5924300,53.790001
2014-12-15,55.419998,56.16,55.110001,55.41,4892200,55.41
2014-12-12,55.310001,55.709999,54.91,55.07,4477700,55.07
2014-12-11,55.50,56.34,55.16,55.48,4179300,55.48
2014-12-10,56.110001,56.75,55.060001,55.32,5642900,55.32
2014-12-09,55.040001,56.200001,53.439999,56.139999,6117600,56.139999
2014-12-08,58.540001,58.73,56.150002,56.41,5057200,56.41
2014-12-05,58.98,59.139999,58.560001,58.849998,2732000,58.849998
2014-12-04,58.66,59.119999,58.540001,58.950001,3087400,58.950001
2014-12-03,59.419998,59.580002,58.540001,58.880001,3056600,58.880001
2014-12-02,59.48,59.73,58.580002,59.25,4931200,59.25
2014-12-01,59.09,59.810001,58.959999,59.080002,4355400,59.080002
