Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,66.449997,66.610001,65.459999,65.489998,1505200,64.898043
2014-12-30,66.150002,66.50,65.959999,66.32,1162500,65.720542
2014-12-29,66.080002,66.699997,66.059998,66.190002,1164400,65.59172
2014-12-26,66.220001,66.720001,66.080002,66.269997,1122600,65.670991
2014-12-24,66.260002,66.489998,65.919998,65.949997,668000,65.353884
2014-12-23,66.330002,66.580002,66.029999,66.169998,1733900,65.571896
2014-12-22,65.110001,65.669998,64.650002,65.660004,3099500,65.066512
2014-12-19,65.309998,65.690002,64.690002,65.089996,4376700,64.501657
2014-12-18,63.360001,65.059998,63.23,65.010002,5198000,64.422385
2014-12-17,60.580002,62.50,60.439999,62.419998,3939700,61.855792
2014-12-16,60.75,61.400002,60.150002,60.419998,4330400,59.87387
2014-12-15,62.049999,62.400002,60.810001,61.23,3769700,60.67655
2014-12-12,62.790001,63.220001,61.790001,61.810001,2904900,61.251309
2014-12-11,63.279999,64.089996,63.060001,63.220001,3651600,62.648564
2014-12-10,64.589996,64.800003,63.040001,63.139999,4133900,62.569285
2014-12-09,64.199997,64.860001,64.089996,64.660004,2628600,64.075551
2014-12-08,64.849998,65.440002,64.620003,64.940002,3643800,64.353018
2014-12-05,65.129997,65.599998,64.709999,64.849998,3295200,64.263828
2014-12-04,65.160004,65.269997,64.709999,64.959999,1794000,64.372834
2014-12-03,65.330002,65.699997,64.919998,65.18,1835700,64.590847
2014-12-02,65.110001,65.50,65.010002,65.410004,1937600,64.818771
2014-12-01,65.540001,65.620003,65.040001,65.25,1758900,64.660214
