Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,86.559998,86.82,85.68,85.709999,2073300,85.440571
2014-12-30,86.860001,86.910004,85.900002,86.239998,1817800,85.968903
2014-12-29,86.269997,87.150002,86.18,86.879997,1480400,86.606891
2014-12-26,86.889999,87.199997,86.639999,86.730003,1181200,86.457369
2014-12-24,87.07,87.120003,86.790001,86.790001,962600,86.517177
2014-12-23,87.300003,87.489998,86.93,87.059998,2847800,86.786325
2014-12-22,86.739998,87.209999,86.419998,87.059998,2369600,86.686641
2014-12-19,86.099998,86.629997,85.669998,86.269997,4980200,85.900028
2014-12-18,85.099998,86.00,84.730003,86.00,3342800,85.631189
2014-12-17,82.269997,84.150002,81.849998,83.940002,4342800,83.580026
2014-12-16,83.269997,84.00,82.18,82.230003,4281500,81.87736
2014-12-15,84.32,84.57,82.900002,83.389999,2755100,83.032382
2014-12-12,83.389999,84.589996,83.379997,83.760002,2818900,83.400798
2014-12-11,83.360001,84.769997,83.110001,83.949997,2788200,83.589978
2014-12-10,84.190002,84.199997,83.050003,83.139999,3700000,82.783454
2014-12-09,83.660004,84.379997,83.540001,84.360001,2188300,83.998223
2014-12-08,84.760002,85.239998,84.510002,84.739998,2432100,84.376591
2014-12-05,84.410004,84.989998,84.400002,84.879997,1415800,84.51599
2014-12-04,84.440002,84.68,84.019997,84.580002,2020200,84.217281
2014-12-03,83.760002,84.980003,83.639999,84.849998,2563200,84.48612
2014-12-02,83.440002,83.720001,83.120003,83.580002,2618900,83.221569
2014-12-01,83.110001,83.330002,82.580002,83.07,2942700,82.713754
