Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,34.34,34.48,33.68,33.720001,1348000,33.720001
2014-12-30,34.27,34.360001,33.66,34.220001,1224100,34.220001
2014-12-29,33.73,34.73,33.68,34.459999,1232900,34.459999
2014-12-26,34.169998,34.330002,33.77,33.810001,936500,33.810001
2014-12-24,33.98,34.32,33.880001,33.990002,380000,33.990002
2014-12-23,34.18,34.790001,33.919998,34.200001,1570600,34.200001
2014-12-22,34.50,34.599998,33.639999,34.00,2173500,34.00
2014-12-19,34.610001,34.939999,34.029999,34.540001,6328000,34.540001
2014-12-18,33.98,34.59,33.619999,34.57,2107500,34.57
2014-12-17,32.389999,33.689999,32.25,33.52,1738000,33.52
2014-12-16,32.110001,32.830002,31.60,32.290001,2435800,32.290001
2014-12-15,32.799999,33.200001,31.799999,31.950001,3020000,31.950001
2014-12-12,32.880001,33.43,32.459999,32.540001,1571800,32.540001
2014-12-11,33.259998,33.830002,33.139999,33.189999,987400,33.189999
2014-12-10,33.77,33.830002,33.009998,33.150002,1497700,33.150002
2014-12-09,32.93,34.130001,32.740002,33.959999,1434400,33.959999
2014-12-08,33.169998,33.630001,32.880001,33.23,2323900,33.23
2014-12-05,33.939999,34.110001,32.709999,33.32,2878400,33.32
2014-12-04,34.580002,34.740002,33.790001,33.939999,1228600,33.939999
2014-12-03,34.400002,35.060001,34.369999,34.689999,1227900,34.689999
2014-12-02,34.130001,34.549999,33.939999,34.310001,1673200,34.310001
2014-12-01,33.869999,34.32,33.52,33.98,1057700,33.98
