Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,73.580002,73.830002,72.720001,72.720001,1025900,72.274732
2014-12-30,73.82,73.940002,73.269997,73.32,845400,72.871057
2014-12-29,73.709999,74.440002,73.449997,73.790001,1481200,73.33818
2014-12-26,73.370003,74.019997,73.18,73.620003,770000,73.169223
2014-12-24,73.940002,74.019997,73.400002,73.449997,428900,73.000258
2014-12-23,74.110001,74.879997,73.75,73.870003,862000,73.417692
2014-12-22,73.410004,73.910004,73.330002,73.709999,1003100,73.258668
2014-12-19,72.900002,73.940002,72.760002,73.510002,2342900,73.059896
2014-12-18,71.93,72.559998,71.230003,72.529999,1564500,72.085893
2014-12-17,69.480003,71.519997,69.449997,71.00,1362300,70.565262
2014-12-16,69.959999,70.849998,69.419998,69.480003,1939500,69.054573
2014-12-15,70.599998,71.470001,69.610001,70.099998,2038900,69.670772
2014-12-12,70.510002,70.989998,69.769997,69.769997,1573900,69.34279
2014-12-11,71.400002,72.029999,71.040001,71.160004,1260800,70.724286
2014-12-10,72.739998,72.769997,70.879997,70.900002,1495700,70.465876
2014-12-09,71.900002,72.870003,71.730003,72.839996,1447800,72.393992
2014-12-08,73.029999,73.580002,72.300003,72.739998,1411200,72.294606
2014-12-05,73.510002,73.75,73.080002,73.389999,1285700,72.940628
2014-12-04,74.300003,74.449997,73.190002,73.389999,1389200,72.940628
2014-12-03,73.459999,74.540001,73.410004,74.139999,1675500,73.686035
2014-12-02,73.019997,73.300003,72.43,73.209999,1717300,72.761729
2014-12-01,72.82,73.099998,72.110001,72.900002,1580200,72.45363
