Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,60.380001,62.040001,59.900002,61.209999,3712600,60.722978
2014-12-30,60.68,61.450001,60.07,61.060001,3255000,60.574174
2014-12-29,61.080002,61.77,60.599998,61.150002,2503000,60.663458
2014-12-26,60.84,61.439999,60.27,60.830002,2269400,60.346004
2014-12-24,61.00,61.169998,59.799999,60.209999,2185900,59.730934
2014-12-23,60.959999,61.84,60.220001,61.470001,3510400,60.980911
2014-12-22,60.529999,60.650002,59.110001,60.189999,4689800,59.711093
2014-12-19,60.630001,61.459999,59.709999,61.310001,7956600,60.822184
2014-12-18,60.34,60.720001,57.82,60.290001,6041400,59.8103
2014-12-17,54.720001,59.310001,54.470001,58.470001,7364000,58.004781
2014-12-16,51.860001,55.610001,51.759998,54.099998,7293200,53.669548
2014-12-15,53.52,54.369999,52.369999,52.66,5001400,52.241007
2014-12-12,52.82,54.650002,52.299999,53.009998,5611200,52.588221
2014-12-11,54.369999,55.540001,53.639999,53.84,4908000,53.411619
2014-12-10,55.740002,55.740002,53.990002,54.470001,6890600,54.036607
2014-12-09,57.150002,58.389999,56.02,57.200001,6006300,56.506794
2014-12-08,59.150002,59.150002,56.450001,56.599998,6296700,55.914063
2014-12-05,59.25,60.549999,58.400002,59.900002,4473900,59.174074
2014-12-04,60.34,60.34,59.27,59.52,3994600,58.798678
2014-12-03,60.310001,62.240002,60.290001,60.919998,3800500,60.181709
2014-12-02,58.950001,61.200001,58.400002,59.889999,4325500,59.164193
2014-12-01,58.689999,60.150002,57.580002,59.939999,7586900,59.213586
