Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,105.519997,105.849998,104.50,104.519997,1036500,103.927373
2014-12-30,106.599998,106.830002,105.230003,105.269997,1158200,104.673121
2014-12-29,106.769997,107.480003,106.610001,106.739998,990900,106.134787
2014-12-26,106.900002,107.730003,106.800003,107.110001,661000,106.502692
2014-12-24,107.599998,107.720001,107.160004,107.18,417200,106.572295
2014-12-23,107.330002,107.93,106.970001,107.449997,1278500,106.840761
2014-12-22,106.760002,107.059998,106.080002,106.830002,1344000,106.224281
2014-12-19,106.080002,107.059998,105.440002,106.629997,1976800,106.02541
2014-12-18,105.419998,106.169998,104.489998,105.290001,2203800,104.693012
2014-12-17,102.360001,104.599998,102.089996,104.43,2495000,103.837887
2014-12-16,101.660004,103.709999,101.260002,101.550003,1650600,100.974219
2014-12-15,103.360001,103.879997,101.68,102.029999,2096300,101.451494
2014-12-12,103.510002,103.980003,102.309998,102.330002,1637400,101.749796
2014-12-11,104.360001,105.580002,103.720001,104.639999,1689400,103.718566
2014-12-10,105.279999,105.279999,103.800003,104.209999,2089400,103.292352
2014-12-09,102.809998,105.610001,102.519997,105.449997,1687800,104.52143
2014-12-08,107.93,108.370003,103.650002,103.849998,2827000,102.935521
2014-12-05,109.68,110.410004,108.82,109.040001,1328300,108.079822
2014-12-04,109.199997,109.82,108.849998,109.529999,1603300,108.565505
2014-12-03,106.129997,109.300003,106.07,109.25,2633200,108.287972
2014-12-02,104.00,106.459999,103.809998,106.230003,2826000,105.294568
2014-12-01,106.599998,108.010002,103.919998,104.300003,3253800,103.381563
