Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,30.17,30.219999,29.74,29.74,11340800,29.475406
2014-12-30,30.49,30.65,30.08,30.15,9367800,29.881758
2014-12-29,30.74,30.76,30.540001,30.610001,9923400,30.22369
2014-12-26,30.700001,30.92,30.700001,30.889999,5984200,30.500156
2014-12-24,30.610001,30.82,30.58,30.690001,4266200,30.302681
2014-12-23,30.50,30.68,30.379999,30.549999,14596100,30.164446
2014-12-22,30.10,30.48,30.040001,30.440001,15979000,30.055836
2014-12-19,29.950001,30.530001,29.950001,30.139999,26089400,29.759621
2014-12-18,29.139999,29.950001,29.139999,29.950001,18573700,29.57202
2014-12-17,28.200001,28.719999,28.110001,28.57,17825100,28.209435
2014-12-16,28.120001,28.719999,27.969999,28.09,21854700,27.735493
2014-12-15,28.49,28.620001,28.09,28.24,14944700,27.8836
2014-12-12,28.98,29.01,28.26,28.34,15006500,27.982338
2014-12-11,29.43,29.66,29.129999,29.23,9860600,28.861106
2014-12-10,29.76,29.940001,29.26,29.290001,13575700,28.92035
2014-12-09,29.639999,29.93,29.280001,29.879999,10308800,29.502902
2014-12-08,30.26,30.33,29.809999,29.860001,10680100,29.483156
2014-12-05,30.309999,30.459999,30.24,30.33,9300300,29.947224
2014-12-04,30.27,30.440001,30.10,30.32,9321400,29.937349
2014-12-03,30.190001,30.360001,30.16,30.309999,9882700,29.927475
2014-12-02,30.290001,30.360001,29.969999,30.209999,8420100,29.828737
2014-12-01,30.23,30.469999,30.16,30.290001,10497700,29.907729
