Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,76.599998,76.900002,75.800003,75.860001,1022000,75.044786
2014-12-30,76.290001,76.889999,75.889999,76.580002,914100,75.75705
2014-12-29,76.690002,77.209999,76.059998,76.349998,922000,75.529518
2014-12-26,76.440002,77.349998,76.370003,76.75,611500,75.925221
2014-12-24,77.040001,77.120003,76.25,76.800003,431000,75.974687
2014-12-23,76.959999,77.339996,76.459999,76.760002,1506700,75.935116
2014-12-22,75.610001,76.50,75.199997,76.489998,1387800,75.668013
2014-12-19,75.199997,75.940002,74.75,75.610001,2387600,74.797473
2014-12-18,73.589996,74.809998,73.050003,74.779999,1753800,73.97639
2014-12-17,72.07,73.080002,71.699997,72.900002,3208000,72.116596
2014-12-16,71.580002,73.550003,71.059998,71.57,2396400,70.800887
2014-12-15,73.139999,73.849998,72.019997,72.050003,2908300,71.275732
2014-12-12,74.879997,74.949997,72.379997,72.559998,2645500,71.780246
2014-12-11,75.980003,77.25,75.449997,75.709999,1774800,74.896397
2014-12-10,79.239998,79.279999,75.330002,75.860001,2225800,74.649087
2014-12-09,78.660004,79.540001,77.889999,79.459999,1598000,78.19162
2014-12-08,80.849998,81.269997,79.25,79.620003,1963200,78.34907
2014-12-05,81.93,82.120003,80.129997,80.510002,2519100,79.224863
2014-12-04,84.00,84.190002,82.769997,83.220001,1553900,81.891603
2014-12-03,83.419998,84.599998,83.089996,84.349998,1402500,83.003563
2014-12-02,82.660004,83.800003,82.150002,83.660004,1264400,82.324582
2014-12-01,82.989998,82.989998,81.370003,82.160004,1451600,80.848526
