Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,86.169998,86.239998,84.50,84.669998,2648900,84.669998
2014-12-30,85.599998,86.239998,85.540001,85.75,1738600,85.75
2014-12-29,85.739998,86.209999,85.410004,85.959999,2111600,85.959999
2014-12-26,85.739998,86.269997,85.209999,85.739998,1956500,85.739998
2014-12-24,85.830002,85.989998,85.25,85.480003,1643200,85.480003
2014-12-23,82.82,85.900002,82.459999,85.879997,6275900,85.879997
2014-12-22,81.25,82.389999,81.239998,82.339996,3268800,82.339996
2014-12-19,80.610001,81.82,80.349998,80.970001,10130100,80.970001
2014-12-18,80.800003,80.879997,79.849998,80.480003,4539500,80.480003
2014-12-17,79.360001,80.150002,78.889999,79.940002,6292700,79.940002
2014-12-16,81.00,81.800003,79.440002,79.449997,8384200,79.449997
2014-12-15,83.290001,83.879997,82.07,82.769997,3173800,82.769997
2014-12-12,83.300003,84.260002,82.879997,82.879997,2850300,82.879997
2014-12-11,84.00,84.459999,83.50,83.980003,2533800,83.980003
2014-12-10,84.970001,85.470001,83.470001,83.699997,2822400,83.699997
2014-12-09,84.440002,85.720001,83.860001,85.68,3813900,85.68
2014-12-08,84.519997,85.059998,84.309998,84.870003,3501900,84.870003
2014-12-05,84.269997,84.739998,84.010002,84.580002,2684500,84.580002
2014-12-04,83.959999,84.510002,83.589996,84.029999,3549900,84.029999
2014-12-03,84.32,84.739998,84.199997,84.300003,3987500,84.300003
2014-12-02,83.540001,84.419998,83.349998,84.120003,3476900,84.120003
2014-12-01,82.989998,84.139999,82.919998,83.650002,3991500,83.650002
