Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,24.24,24.58,24.030001,24.26,1854000,24.26
2014-12-30,24.25,24.25,23.940001,24.10,1242400,24.10
2014-12-29,24.25,24.530001,24.059999,24.32,1251400,24.32
2014-12-26,24.50,24.58,23.58,24.299999,1068900,24.299999
2014-12-24,24.440001,24.530001,24.18,24.450001,1223000,24.450001
2014-12-23,24.35,24.450001,24.25,24.27,1433800,24.27
2014-12-22,24.23,24.290001,24.040001,24.23,1660000,24.23
2014-12-19,23.940001,24.219999,23.83,24.17,3418000,24.17
2014-12-18,23.67,23.940001,23.360001,23.940001,2709100,23.940001
2014-12-17,22.389999,23.35,22.219999,23.26,3701000,23.26
2014-12-16,22.35,22.709999,22.030001,22.219999,2517700,22.219999
2014-12-15,22.77,23.049999,22.290001,22.559999,3698400,22.559999
2014-12-12,23.190001,23.370001,22.559999,22.58,3747800,22.58
2014-12-11,23.639999,24.09,23.469999,23.52,2531200,23.52
2014-12-10,23.58,23.85,23.280001,23.360001,2836700,23.360001
2014-12-09,23.25,23.84,23.09,23.639999,2168200,23.639999
2014-12-08,23.719999,24.08,23.59,23.68,2347700,23.68
2014-12-05,23.50,24.08,23.280001,23.860001,3524000,23.860001
2014-12-04,22.940001,23.139999,22.77,23.09,1574200,23.09
2014-12-03,22.60,23.059999,22.40,23.040001,2431500,23.040001
2014-12-02,22.17,22.68,21.530001,22.67,2158800,22.67
2014-12-01,22.66,22.77,21.85,22.059999,3797500,22.059999
