Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,90.260002,90.559998,87.400002,87.480003,1564300,85.64241
2014-12-30,91.169998,91.169998,89.68,89.93,1141700,88.040943
2014-12-29,90.550003,92.019997,90.349998,91.160004,1229700,89.245109
2014-12-26,89.769997,91.029999,89.769997,90.419998,850300,88.520648
2014-12-24,88.150002,89.989998,87.870003,89.529999,1282900,87.649343
2014-12-23,88.50,88.860001,87.540001,88.07,1374900,86.220013
2014-12-22,86.540001,88.650002,86.129997,88.309998,1964000,86.454969
2014-12-19,89.059998,89.959999,88.559998,89.029999,3446900,87.159846
2014-12-18,87.339996,88.709999,87.080002,88.699997,1627500,86.836776
2014-12-17,86.190002,87.760002,86.080002,87.32,2248500,85.485767
2014-12-16,86.50,87.410004,85.860001,86.00,2696700,84.193495
2014-12-15,86.510002,87.919998,85.919998,86.370003,3077900,84.555726
2014-12-12,84.339996,87.989998,84.150002,86.410004,4037500,84.594886
2014-12-11,83.209999,85.209999,83.120003,84.900002,1642500,83.116603
2014-12-10,83.989998,84.519997,83.040001,83.089996,1204500,81.344619
2014-12-09,83.830002,84.790001,83.349998,83.980003,2119400,82.21593
2014-12-08,82.830002,84.32,82.620003,84.040001,1105500,82.274668
2014-12-05,82.50,83.00,82.18,82.720001,1634900,80.982396
2014-12-04,83.300003,83.989998,83.199997,83.559998,1037100,81.804747
2014-12-03,83.699997,83.860001,83.099998,83.470001,1031100,81.716641
2014-12-02,83.529999,84.110001,83.269997,83.699997,1548200,81.941806
2014-12-01,83.209999,84.989998,82.760002,83.830002,2016800,82.06908
