Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,15.51,15.64,15.47,15.50,17930200,15.200127
2014-12-30,15.48,15.60,15.45,15.50,14795000,15.200127
2014-12-29,15.37,15.68,15.34,15.52,19137500,15.21974
2014-12-26,15.30,15.49,15.26,15.45,11666400,15.151094
2014-12-24,15.37,15.38,15.25,15.30,7128800,15.003996
2014-12-23,15.21,15.45,15.21,15.33,20828700,15.033416
2014-12-22,15.08,15.24,15.00,15.22,25366800,14.925544
2014-12-19,14.79,15.05,14.74,15.03,40843500,14.73922
2014-12-18,14.70,14.81,14.51,14.81,35542500,14.523476
2014-12-17,14.17,14.52,14.11,14.45,29504200,14.170441
2014-12-16,14.19,14.46,13.93,14.09,43879300,13.817406
2014-12-15,14.86,14.92,14.27,14.28,47476400,14.00373
2014-12-12,15.20,15.21,14.99,14.99,22684500,14.699993
2014-12-11,15.17,15.49,15.03,15.28,30359300,14.984383
2014-12-10,15.43,15.43,15.15,15.16,24615500,14.866705
2014-12-09,15.05,15.43,14.75,15.43,23382800,15.131481
2014-12-08,15.68,15.75,15.38,15.43,25519100,15.131481
2014-12-05,15.90,15.94,15.63,15.70,29700300,15.396257
2014-12-04,16.00,16.030001,15.75,15.81,23264600,15.50413
2014-12-03,15.88,16.129999,15.88,16.01,37561100,15.70026
2014-12-02,15.86,15.95,15.61,15.90,32273000,15.592388
2014-12-01,15.78,15.89,15.70,15.77,30022000,15.464904
