Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,48.360001,48.369999,47.52,47.560001,797700,46.952093
2014-12-30,48.099998,48.43,47.91,48.119999,990000,47.504933
2014-12-29,47.799999,48.240002,47.790001,48.209999,1249100,47.593783
2014-12-26,48.029999,48.169998,47.759998,47.799999,836100,47.189024
2014-12-24,47.860001,48.16,47.860001,47.869999,816700,47.258129
2014-12-23,48.00,48.259998,47.709999,47.720001,1082800,47.110048
2014-12-22,47.290001,47.709999,47.119999,47.700001,1217700,47.090303
2014-12-19,46.549999,47.860001,46.549999,47.310001,3180600,46.705289
2014-12-18,46.09,46.580002,45.34,46.580002,1687600,45.98462
2014-12-17,45.080002,45.52,44.470001,45.380001,1548800,44.799958
2014-12-16,45.16,46.02,44.970001,45.009998,1253000,44.434684
2014-12-15,45.630001,45.919998,45.099998,45.25,1495000,44.671618
2014-12-12,46.02,47.049999,45.509998,45.560001,2355000,44.977657
2014-12-11,47.029999,47.029999,46.279999,46.439999,1849100,45.846406
2014-12-10,46.349998,46.470001,45.849998,46.040001,2117600,45.451521
2014-12-09,46.09,46.59,45.82,46.57,1380000,45.974746
2014-12-08,46.259998,47.450001,46.009998,46.619999,1372000,46.024106
2014-12-05,46.82,47.349998,46.619999,47.259998,1663600,46.655925
2014-12-04,46.23,46.73,46.00,46.639999,1888700,46.043851
2014-12-03,45.009998,46.279999,45.009998,46.259998,2296200,45.668707
2014-12-02,44.299999,44.860001,44.169998,44.849998,1491100,44.276729
2014-12-01,45.049999,45.189999,44.41,44.419998,1895800,43.852225
