Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,79.540001,79.800003,77.860001,78.019997,20040400,78.019997
2014-12-30,79.849998,80.589996,79.099998,79.220001,14370800,79.220001
2014-12-29,80.489998,80.959999,79.709999,80.019997,14134700,80.019997
2014-12-26,81.019997,81.279999,80.510002,80.779999,10647400,80.779999
2014-12-24,81.029999,81.43,80.75,80.769997,7685500,80.769997
2014-12-23,82.019997,82.169998,80.400002,80.610001,19865800,80.610001
2014-12-22,80.080002,81.889999,80.00,81.449997,31395800,81.449997
2014-12-19,78.75,80.00,78.330002,79.879997,43335000,79.879997
2014-12-18,76.889999,78.400002,76.510002,78.400002,34222100,78.400002
2014-12-17,75.010002,76.410004,74.900002,76.110001,29203900,76.110001
2014-12-16,76.190002,77.389999,74.589996,74.690002,31554600,74.690002
2014-12-15,78.459999,78.580002,76.559998,76.989998,29396500,76.989998
2014-12-12,77.160004,78.879997,77.019997,77.830002,28091600,77.830002
2014-12-11,76.519997,78.519997,76.480003,77.730003,33462100,77.730003
2014-12-10,76.650002,77.550003,76.07,76.18,32210500,76.18
2014-12-09,75.199997,76.93,74.779999,76.839996,25358600,76.839996
2014-12-08,76.18,77.25,75.400002,76.519997,25733900,76.519997
2014-12-05,75.800003,76.760002,75.360001,76.360001,24306400,76.360001
2014-12-04,74.830002,75.550003,74.660004,75.239998,14362800,75.239998
2014-12-03,75.379997,75.730003,74.400002,74.879997,16689900,74.879997
2014-12-02,75.330002,75.910004,75.040001,75.459999,16724600,75.459999
2014-12-01,77.260002,77.309998,74.800003,75.099998,31789900,75.099998
