Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,23.549999,23.67,23.190001,23.360001,12414500,22.759091
2014-12-30,23.27,23.77,23.24,23.58,14736600,22.973431
2014-12-29,23.58,23.75,23.190001,23.26,12152500,22.661663
2014-12-26,23.049999,23.889999,23.01,23.51,11115300,22.905232
2014-12-24,22.67,23.00,22.51,22.91,5619600,22.320666
2014-12-23,22.639999,23.18,22.52,22.84,11175800,22.252467
2014-12-22,23.48,23.52,22.360001,22.549999,14568400,21.969926
2014-12-19,22.90,23.469999,22.709999,23.40,23998400,22.798061
2014-12-18,22.59,22.83,22.16,22.82,21206700,22.232981
2014-12-17,21.290001,22.24,21.219999,22.129999,22364900,21.56073
2014-12-16,21.27,21.950001,20.940001,21.190001,23220400,20.644912
2014-12-15,22.09,22.120001,21.030001,21.030001,22011500,20.489028
2014-12-12,22.98,22.99,21.77,21.780001,27925300,21.219735
2014-12-11,23.33,23.83,22.860001,22.98,26720400,22.388865
2014-12-10,24.92,25.01,23.950001,23.959999,16762200,23.343655
2014-12-09,24.639999,25.129999,24.389999,25.129999,21675900,24.483558
2014-12-08,25.92,26.15,25.07,25.129999,14821300,24.483558
2014-12-05,26.219999,26.370001,25.84,26.01,9935800,25.340922
2014-12-04,26.60,26.84,26.290001,26.43,8734000,25.750118
2014-12-03,26.129999,26.889999,26.059999,26.700001,14662700,26.013173
2014-12-02,25.76,26.49,25.450001,25.870001,17068500,25.204524
2014-12-01,26.709999,26.75,25.50,26.200001,21161500,25.526035
