Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,57.610001,57.939999,56.93,57.029999,941900,56.691862
2014-12-30,57.48,57.900002,57.349998,57.549999,602900,57.208779
2014-12-29,57.32,57.889999,57.310001,57.630001,669400,57.288306
2014-12-26,57.959999,58.00,57.52,57.560001,518300,57.06961
2014-12-24,57.830002,57.990002,57.48,57.740002,356400,57.248077
2014-12-23,56.599998,57.950001,56.549999,57.919998,1245400,57.42654
2014-12-22,56.779999,57.119999,55.830002,56.509998,1399400,56.028553
2014-12-19,56.84,57.169998,56.470001,56.959999,2470900,56.47472
2014-12-18,57.709999,57.720001,55.389999,56.50,1805700,56.01864
2014-12-17,54.549999,56.009998,54.349998,56.00,1054300,55.5229
2014-12-16,54.810001,55.669998,54.240002,54.299999,1292400,53.837382
2014-12-15,55.66,56.009998,54.880001,54.990002,1637700,54.521506
2014-12-12,55.439999,55.509998,54.98,55.00,1887100,54.531419
2014-12-11,55.009998,56.23,55.009998,55.82,1934500,55.344433
2014-12-10,56.060001,56.369999,54.98,55.16,1256900,54.690056
2014-12-09,55.91,56.389999,55.639999,56.34,910900,55.860003
2014-12-08,56.889999,56.93,56.060001,56.209999,1197800,55.73111
2014-12-05,55.41,57.419998,55.27,56.959999,2186800,56.47472
2014-12-04,54.880001,55.529999,54.869999,55.25,970900,54.779289
2014-12-03,53.990002,55.110001,53.700001,55.040001,1884000,54.571079
2014-12-02,53.599998,54.25,53.52,54.07,1158200,53.609342
2014-12-01,54.290001,54.720001,53.700001,53.75,1517900,53.292069
