Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,6.70,6.83,6.64,6.67,6493400,6.4434
2014-12-30,6.73,6.79,6.64,6.66,6359700,6.433739
2014-12-29,6.83,6.87,6.74,6.77,4227300,6.540002
2014-12-26,6.81,6.86,6.76,6.83,3064400,6.597964
2014-12-24,6.78,6.85,6.71,6.76,3007900,6.530342
2014-12-23,6.85,6.86,6.76,6.78,6635000,6.549663
2014-12-22,6.68,6.87,6.68,6.79,7832300,6.559323
2014-12-19,6.74,6.85,6.69,6.72,23241200,6.491701
2014-12-18,6.60,6.75,6.57,6.74,13219500,6.511021
2014-12-17,6.38,6.57,6.36,6.55,11911200,6.327476
2014-12-16,6.31,6.53,6.30,6.36,10354700,6.143931
2014-12-15,6.28,6.32,6.17,6.30,10879800,6.08597
2014-12-12,6.60,6.68,6.16,6.26,17629500,6.047329
2014-12-11,6.43,6.63,6.41,6.54,11174200,6.317816
2014-12-10,6.50,6.54,6.38,6.45,13015500,6.230873
2014-12-09,6.50,6.64,6.35,6.60,13769200,6.279174
2014-12-08,6.85,6.89,6.53,6.54,12984900,6.222091
2014-12-05,6.88,6.94,6.85,6.90,4809800,6.564592
2014-12-04,6.95,6.98,6.82,6.91,8676400,6.574105
2014-12-03,7.00,7.06,6.93,6.95,8062700,6.612161
2014-12-02,6.95,7.04,6.94,7.03,6854900,6.688273
2014-12-01,7.04,7.12,6.93,6.95,5873100,6.612161
