Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,28.65,28.879999,28.08,28.129999,3016800,27.783804
2014-12-30,28.67,28.799999,28.469999,28.52,2027700,28.169005
2014-12-29,28.469999,28.76,28.440001,28.66,1888200,28.307282
2014-12-26,28.450001,28.610001,28.41,28.52,1035900,28.169005
2014-12-24,28.450001,28.700001,28.32,28.34,1142100,27.99122
2014-12-23,28.540001,28.67,28.379999,28.43,2394700,28.080113
2014-12-22,28.190001,28.48,28.190001,28.389999,4101200,28.040604
2014-12-19,28.120001,28.42,28.09,28.16,5457100,27.813435
2014-12-18,28.10,28.16,27.780001,28.16,3421700,27.813435
2014-12-17,27.120001,27.92,27.10,27.860001,6199900,27.517128
2014-12-16,27.02,27.190001,26.76,27.01,5006500,26.677588
2014-12-15,27.209999,27.280001,26.879999,27.120001,4181000,26.786235
2014-12-12,27.139999,27.40,27.059999,27.15,5379300,26.815865
2014-12-11,27.209999,27.389999,27.09,27.200001,3878300,26.865251
2014-12-10,27.459999,27.49,27.139999,27.299999,3479500,26.79611
2014-12-09,27.200001,27.58,27.110001,27.440001,2900700,26.933527
2014-12-08,27.33,27.57,27.24,27.379999,4253400,26.874634
2014-12-05,27.09,27.299999,26.969999,27.280001,4074100,26.776481
2014-12-04,27.120001,27.15,26.91,27.129999,3725100,26.629248
2014-12-03,27.26,27.309999,27.01,27.10,3216400,26.599803
2014-12-02,26.84,27.309999,26.68,27.299999,5067600,26.79611
2014-12-01,26.780001,27.02,26.68,26.84,2463600,26.344602
