Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,8.57,8.62,8.43,8.50,5681400,8.50
2014-12-30,8.44,8.79,8.44,8.56,6819300,8.56
2014-12-29,8.40,8.55,8.30,8.46,5781200,8.46
2014-12-26,8.42,8.50,8.36,8.39,3385600,8.39
2014-12-24,8.44,8.54,8.32,8.40,2826800,8.40
2014-12-23,8.39,8.58,8.38,8.39,5693300,8.39
2014-12-22,8.57,8.59,8.26,8.32,6458500,8.32
2014-12-19,7.97,8.59,7.95,8.59,18237900,8.59
2014-12-18,7.59,8.02,7.57,7.99,18174800,7.99
2014-12-17,7.69,7.97,7.69,7.93,9082400,7.93
2014-12-16,7.68,7.94,7.58,7.64,9152500,7.64
2014-12-15,7.96,8.10,7.79,7.80,9333000,7.80
2014-12-12,8.12,8.13,7.88,7.92,9090300,7.92
2014-12-11,8.17,8.42,8.10,8.24,7450900,8.24
2014-12-10,8.43,8.50,8.14,8.16,8380000,8.16
2014-12-09,8.39,8.58,8.32,8.47,10625500,8.47
2014-12-08,8.62,8.74,8.45,8.52,8625500,8.52
2014-12-05,8.68,8.86,8.56,8.63,7579800,8.63
2014-12-04,8.73,8.84,8.60,8.61,8822400,8.61
2014-12-03,8.61,8.94,8.60,8.77,9104700,8.77
2014-12-02,8.80,9.12,8.58,8.65,14430100,8.65
2014-12-01,9.00,9.25,8.85,9.19,9547200,9.19
