Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,42.00,42.52,42.00,42.110001,2799700,41.415231
2014-12-30,41.889999,42.00,41.709999,41.950001,2246900,41.257871
2014-12-29,41.459999,42.049999,41.43,41.880001,2968500,41.189026
2014-12-26,41.73,41.959999,41.400002,41.419998,1732400,40.736613
2014-12-24,41.560001,41.82,41.439999,41.459999,745400,40.775954
2014-12-23,41.27,41.799999,41.23,41.369999,1967000,40.687438
2014-12-22,41.18,41.470001,40.810001,41.09,2169100,40.412059
2014-12-19,40.959999,41.169998,40.549999,41.02,3759500,40.343215
2014-12-18,41.00,41.049999,40.310001,41.009998,2903500,40.333378
2014-12-17,40.029999,40.490002,39.709999,40.41,2346200,39.743278
2014-12-16,40.43,40.73,39.900002,39.91,3262200,39.251528
2014-12-15,40.040001,40.77,39.900002,40.48,3964800,39.812123
2014-12-12,39.630001,40.360001,39.540001,39.900002,3061900,39.241694
2014-12-11,39.549999,40.459999,39.52,39.889999,3824000,39.231857
2014-12-10,40.00,40.650002,39.139999,39.220001,4014000,38.572913
2014-12-09,39.650002,40.349998,39.650002,40.220001,3277700,39.556415
2014-12-08,40.650002,40.799999,40.009998,40.07,3483800,39.408888
2014-12-05,41.82,41.950001,40.34,40.740002,6578400,40.067836
2014-12-04,40.50,40.799999,40.02,40.560001,5107700,39.890805
2014-12-03,39.860001,40.779999,39.66,40.599998,4282300,39.930142
2014-12-02,39.490002,40.110001,39.419998,39.849998,3776000,39.192516
2014-12-01,39.290001,39.470001,38.939999,39.43,4653900,38.779448
