Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,28.629999,28.860001,28.469999,28.57,2243000,28.435644
2014-12-30,28.48,28.73,28.360001,28.50,2281000,28.365973
2014-12-29,28.32,28.77,28.26,28.66,1951500,28.525221
2014-12-26,28.33,28.610001,28.33,28.389999,1196000,28.25649
2014-12-24,28.35,28.42,28.07,28.219999,1136900,28.087289
2014-12-23,28.25,28.77,28.10,28.27,3318900,28.137055
2014-12-22,28.24,28.360001,28.07,28.10,2753200,27.967855
2014-12-19,27.870001,28.32,27.690001,28.08,7215300,27.947948
2014-12-18,27.59,27.799999,27.360001,27.76,3835000,27.629454
2014-12-17,26.75,27.32,26.52,27.23,2941300,27.101945
2014-12-16,26.40,27.200001,26.26,26.51,3560300,26.385332
2014-12-15,26.65,26.90,26.40,26.60,5336100,26.474909
2014-12-12,26.809999,27.10,26.440001,26.49,2504400,26.365426
2014-12-11,27.200001,27.50,27.00,27.10,4366700,26.972558
2014-12-10,26.91,27.379999,26.860001,26.93,2940400,26.803357
2014-12-09,26.549999,27.15,26.09,27.110001,2427700,26.982511
2014-12-08,27.43,27.450001,26.690001,26.83,3193200,26.703827
2014-12-05,27.23,27.74,27.23,27.58,2471000,27.4503
2014-12-04,27.219999,27.57,27.10,27.35,2150800,27.221382
2014-12-03,27.280001,27.889999,27.219999,27.469999,3758300,27.340816
2014-12-02,26.90,27.82,26.799999,27.24,4323000,27.111899
2014-12-01,27.209999,27.530001,26.719999,26.91,4213300,26.783451
