Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,10.72,10.73,10.51,10.52,5579000,10.408742
2014-12-30,10.65,10.73,10.56,10.66,3905700,10.547261
2014-12-29,10.56,10.74,10.55,10.70,4339400,10.586838
2014-12-26,10.57,10.63,10.55,10.57,2920700,10.458213
2014-12-24,10.63,10.64,10.52,10.56,5652100,10.448319
2014-12-23,10.46,10.62,10.45,10.61,5879600,10.497789
2014-12-22,10.35,10.46,10.34,10.44,5411200,10.329587
2014-12-19,10.50,10.55,10.33,10.33,24380900,10.220751
2014-12-18,10.34,10.47,10.27,10.47,11372200,10.359271
2014-12-17,10.07,10.23,9.97,10.19,10158300,10.082231
2014-12-16,9.94,10.16,9.92,10.06,12617700,9.894241
2014-12-15,10.12,10.15,9.91,10.01,8783400,9.845065
2014-12-12,10.17,10.24,10.06,10.06,8466200,9.894241
2014-12-11,10.30,10.38,10.21,10.25,9904800,10.08111
2014-12-10,10.41,10.46,10.21,10.23,9434800,10.061439
2014-12-09,10.26,10.47,10.25,10.46,7124200,10.28765
2014-12-08,10.43,10.50,10.33,10.41,6725800,10.238474
2014-12-05,10.25,10.45,10.21,10.43,7985600,10.258145
2014-12-04,10.10,10.20,10.10,10.18,5440500,10.012264
2014-12-03,10.02,10.16,10.01,10.15,5684700,9.982758
2014-12-02,10.01,10.14,10.01,10.04,8836800,9.87457
2014-12-01,10.11,10.14,9.93,9.98,8511800,9.815559
