Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,10.28,10.30,10.12,10.12,1470900,10.078268
2014-12-30,10.21,10.26,10.15,10.24,1075300,10.197773
2014-12-29,10.10,10.29,10.10,10.21,1442400,10.167897
2014-12-26,9.90,10.25,9.87,10.14,684200,10.098186
2014-12-24,10.26,10.27,10.18,10.18,813400,10.138021
2014-12-23,10.12,10.26,10.12,10.25,1844700,10.207732
2014-12-22,10.03,10.10,9.95,10.09,1613700,10.048392
2014-12-19,9.93,10.07,9.93,10.01,4661100,9.968722
2014-12-18,9.78,9.95,9.75,9.94,4316800,9.89901
2014-12-17,9.49,9.71,9.45,9.66,4395100,9.620165
2014-12-16,9.44,9.61,9.43,9.45,5432300,9.411031
2014-12-15,9.59,9.66,9.53,9.57,4588400,9.530536
2014-12-12,9.73,9.79,9.57,9.57,4409500,9.530536
2014-12-11,9.73,9.90,9.73,9.77,2129300,9.729712
2014-12-10,10.03,10.05,9.73,9.74,3051000,9.699835
2014-12-09,9.80,10.05,9.73,10.04,4318100,9.998598
2014-12-08,9.93,9.99,9.85,9.95,2099900,9.908969
2014-12-05,9.91,10.02,9.89,9.93,2013100,9.889052
2014-12-04,9.89,9.95,9.85,9.89,1471600,9.849217
2014-12-03,9.72,9.94,9.72,9.89,2002500,9.849217
2014-12-02,9.64,9.81,9.62,9.76,3095300,9.719753
2014-12-01,9.78,9.80,9.64,9.65,6499800,9.610206
