Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,77.190002,77.639999,75.559998,75.669998,1687800,74.040582
2014-12-30,76.75,77.540001,76.50,76.720001,1727800,75.067975
2014-12-29,76.720001,77.230003,76.330002,76.620003,2063800,74.97013
2014-12-26,76.419998,77.00,76.290001,76.790001,1025300,75.136467
2014-12-24,76.699997,77.279999,76.059998,76.099998,930700,74.461323
2014-12-23,78.019997,78.169998,76.529999,76.68,1811200,75.028835
2014-12-22,76.739998,78.110001,76.50,77.980003,2208900,76.300845
2014-12-19,76.150002,76.779999,75.650002,76.50,4002000,74.852711
2014-12-18,76.769997,77.080002,75.18,76.260002,3551400,74.617881
2014-12-17,74.790001,76.800003,74.769997,76.349998,2862600,74.705939
2014-12-16,75.18,75.489998,74.419998,74.480003,2198000,72.876211
2014-12-15,76.279999,76.620003,74.93,75.139999,2421900,73.521995
2014-12-12,76.220001,77.110001,76.220001,76.260002,2237400,74.617881
2014-12-11,76.400002,76.879997,76.080002,76.370003,1861300,74.725513
2014-12-10,75.519997,76.400002,75.360001,76.110001,2721600,74.471109
2014-12-09,74.459999,76.080002,74.459999,75.550003,1934400,73.92317
2014-12-08,73.959999,75.309998,73.959999,74.769997,2228800,73.15996
2014-12-05,74.760002,74.760002,73.220001,73.989998,2034100,72.396757
2014-12-04,75.029999,75.389999,74.529999,75.239998,1687600,73.619841
2014-12-03,75.120003,75.43,74.370003,74.879997,1612300,73.267592
2014-12-02,74.300003,74.830002,73.760002,74.769997,1612900,73.15996
2014-12-01,73.529999,75.00,73.43,74.510002,2039200,72.905564
