Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,104.75,106.019997,104.559998,104.970001,5821600,103.880866
2014-12-30,104.440002,104.739998,103.849998,104.269997,2927800,103.188125
2014-12-29,103.580002,104.800003,103.260002,104.529999,3492700,103.445429
2014-12-26,103.980003,104.32,103.480003,103.75,2594400,102.673523
2014-12-24,104.050003,104.379997,103.559998,103.559998,1819000,102.485492
2014-12-23,103.660004,104.199997,103.32,103.760002,4067700,102.683422
2014-12-22,102.25,103.57,102.230003,103.50,5418900,102.426117
2014-12-19,100.919998,102.00,100.809998,101.93,12500600,100.872407
2014-12-18,100.339996,100.690002,99.300003,100.669998,6594000,99.625479
2014-12-17,97.589996,99.139999,97.089996,98.940002,6096400,97.913433
2014-12-16,99.379997,100.230003,96.989998,97.059998,7829300,96.052934
2014-12-15,100.010002,101.239998,99.290001,100.050003,5488300,99.011916
2014-12-12,99.690002,101.25,99.389999,99.779999,5983300,98.744714
2014-12-11,99.279999,101.400002,99.150002,100.269997,6864000,99.229627
2014-12-10,99.360001,100.230003,98.82,98.940002,5357000,97.913433
2014-12-09,99.690002,99.980003,98.589996,99.639999,5280500,98.606167
2014-12-08,99.709999,100.949997,99.660004,100.43,6624300,99.387971
2014-12-05,98.769997,99.68,98.660004,99.639999,4649100,98.606167
2014-12-04,98.150002,99.110001,97.779999,98.949997,5220000,97.923324
2014-12-03,98.099998,98.739998,98.040001,98.589996,4357200,97.567058
2014-12-02,98.620003,99.00,97.989998,98.160004,4677500,97.141527
2014-12-01,99.489998,99.610001,98.309998,98.879997,4393700,97.388925
