Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,53.139999,53.189999,52.060001,52.099998,372900,51.394575
2014-12-30,53.07,53.299999,52.919998,53.029999,350200,52.311984
2014-12-29,52.93,53.360001,52.57,53.18,449900,52.459954
2014-12-26,53.18,53.470001,52.959999,53.00,241400,52.282391
2014-12-24,53.310001,53.389999,53.080002,53.080002,169500,52.36131
2014-12-23,53.150002,53.470001,53.07,53.25,465000,52.529006
2014-12-22,52.50,53.040001,52.50,52.950001,543000,52.233069
2014-12-19,52.220001,52.540001,52.040001,52.279999,931300,51.572139
2014-12-18,51.369999,52.09,51.259998,52.029999,859900,51.325523
2014-12-17,50.34,51.040001,50.060001,50.869999,806100,50.18123
2014-12-16,50.669998,51.459999,50.119999,50.139999,782800,49.461114
2014-12-15,51.119999,51.25,50.09,50.75,930800,50.062856
2014-12-12,51.52,51.889999,50.959999,50.959999,542300,50.270011
2014-12-11,51.50,52.330002,51.50,51.869999,665900,51.16769
2014-12-10,51.970001,52.419998,51.389999,51.419998,706200,50.723782
2014-12-09,52.50,52.82,52.040001,52.279999,635800,51.572139
2014-12-08,52.790001,53.599998,52.790001,52.919998,733100,52.203472
2014-12-05,52.50,52.869999,52.50,52.77,670500,52.055506
2014-12-04,52.740002,52.810001,52.349998,52.50,633900,51.789161
2014-12-03,52.57,52.830002,52.240002,52.740002,1052900,52.025913
2014-12-02,52.709999,52.970001,52.259998,52.759998,1578900,52.045639
2014-12-01,53.040001,53.540001,52.830002,52.84,835700,52.124558
