Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,48.599998,48.900002,48.310001,48.34,2031900,47.858883
2014-12-30,48.93,48.98,48.34,48.400002,1758600,47.918287
2014-12-29,48.599998,49.259998,48.52,48.970001,1911000,48.482613
2014-12-26,48.740002,49.099998,48.689999,48.869999,1833100,48.383606
2014-12-24,48.810001,48.810001,48.459999,48.50,1348100,48.01729
2014-12-23,48.939999,49.07,48.720001,48.73,2070600,48.245
2014-12-22,48.369999,48.59,48.119999,48.50,2491900,48.01729
2014-12-19,47.34,48.450001,47.23,48.220001,7224900,47.740078
2014-12-18,46.349998,47.209999,46.139999,47.200001,4723900,46.730229
2014-12-17,44.970001,45.810001,44.66,45.68,3591300,45.225357
2014-12-16,45.41,46.23,44.889999,44.900002,4819200,44.453122
2014-12-15,46.360001,46.470001,45.529999,45.639999,3278700,45.185754
2014-12-12,46.810001,47.029999,46.099998,46.119999,2818200,45.660977
2014-12-11,47.07,47.700001,46.93,47.299999,4428400,46.829233
2014-12-10,47.849998,47.880001,46.790001,46.799999,3268600,46.334209
2014-12-09,48.299999,48.299999,47.360001,48.169998,5042600,47.433159
2014-12-08,49.470001,49.529999,48.790001,48.889999,2269900,48.142147
2014-12-05,49.91,50.029999,49.439999,49.599998,3350400,48.841285
2014-12-04,50.299999,50.549999,49.75,49.900002,2512700,49.136699
2014-12-03,50.220001,50.830002,50.099998,50.34,6653100,49.569967
2014-12-02,49.240002,50.220001,49.189999,49.939999,3818800,49.176085
2014-12-01,49.630001,49.740002,49.00,49.18,5136000,48.427712
