Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,79.040001,80.540001,79.040001,79.389999,1379900,78.632319
2014-12-30,78.919998,79.300003,78.620003,78.760002,771400,78.008334
2014-12-29,78.25,79.57,78.129997,79.18,824400,78.424324
2014-12-26,78.290001,78.989998,78.07,78.169998,413800,77.423961
2014-12-24,78.919998,79.220001,78.120003,78.139999,350300,77.394249
2014-12-23,77.75,79.00,77.639999,78.720001,855500,77.968715
2014-12-22,77.160004,77.739998,76.660004,77.519997,810400,76.780163
2014-12-19,77.860001,77.93,76.209999,77.099998,1897100,76.364173
2014-12-18,77.029999,77.580002,76.220001,77.519997,1080400,76.780163
2014-12-17,75.00,75.93,74.629997,75.769997,1153700,75.046865
2014-12-16,75.269997,75.730003,74.660004,74.839996,1536600,74.12574
2014-12-15,75.059998,76.080002,74.43,75.43,1625100,74.710113
2014-12-12,73.910004,75.400002,73.690002,74.650002,1032400,73.937559
2014-12-11,74.059998,75.209999,73.959999,74.190002,1220500,73.48195
2014-12-10,74.739998,74.900002,73.290001,73.389999,1495600,72.689582
2014-12-09,74.00,74.730003,73.769997,74.639999,1264900,73.927652
2014-12-08,75.169998,75.540001,74.300003,74.57,1218700,73.85832
2014-12-05,75.82,75.949997,75.300003,75.550003,676500,74.828971
2014-12-04,75.860001,76.050003,75.300003,75.699997,924200,74.977533
2014-12-03,75.769997,76.510002,75.400002,76.330002,814200,75.601525
2014-12-02,75.830002,76.209999,75.010002,75.769997,947300,75.046865
2014-12-01,76.07,76.169998,75.169998,75.650002,1053500,74.928015
