Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,14.14,14.14,13.89,13.90,5081400,13.766136
2014-12-30,14.01,14.18,13.91,14.10,4651900,13.96421
2014-12-29,13.98,14.16,13.96,14.07,4590200,13.934499
2014-12-26,14.02,14.09,13.98,14.00,2502400,13.865173
2014-12-24,14.10,14.10,13.95,14.01,2391800,13.875077
2014-12-23,13.89,14.10,13.84,14.06,5105100,13.924596
2014-12-22,13.81,13.86,13.74,13.84,6788200,13.706714
2014-12-19,13.83,13.92,13.79,13.80,13703900,13.667099
2014-12-18,13.60,13.81,13.58,13.81,9273100,13.677003
2014-12-17,13.18,13.48,13.11,13.43,13780100,13.300663
2014-12-16,13.02,13.31,13.00,13.11,15726400,12.983744
2014-12-15,13.34,13.44,13.10,13.11,14229200,12.983744
2014-12-12,13.42,13.51,13.28,13.30,9526400,13.171915
2014-12-11,13.58,13.68,13.48,13.53,7512500,13.399699
2014-12-10,13.79,13.89,13.46,13.48,10956400,13.35018
2014-12-09,13.64,13.83,13.56,13.82,8360400,13.686906
2014-12-08,13.78,13.97,13.69,13.73,7976100,13.597773
2014-12-05,13.59,13.92,13.59,13.78,12666000,13.647291
2014-12-04,13.34,13.50,13.30,13.49,11942600,13.360084
2014-12-03,13.20,13.37,13.19,13.32,8244300,13.191721
2014-12-02,13.21,13.40,13.16,13.20,11576900,13.072877
2014-12-01,13.44,13.46,13.04,13.18,17273000,13.05307
