Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,60.939999,61.799999,60.91,61.040001,2113100,60.235118
2014-12-30,60.790001,61.110001,60.259998,60.720001,1951200,59.919338
2014-12-29,60.009998,61.119999,60.009998,60.650002,3172200,59.850261
2014-12-26,60.630001,61.040001,60.169998,60.200001,1576100,59.406194
2014-12-24,61.59,61.830002,60.459999,60.459999,1255100,59.662764
2014-12-23,60.91,62.02,60.880001,61.540001,3326900,60.728525
2014-12-22,59.84,60.68,59.509998,60.57,2602300,59.771314
2014-12-19,59.580002,59.689999,58.959999,59.59,3243900,58.804237
2014-12-18,58.310001,59.59,57.900002,59.450001,3267000,58.666084
2014-12-17,57.490002,57.77,57.119999,57.639999,4689400,56.879949
2014-12-16,57.939999,58.299999,57.150002,57.18,2607000,56.426016
2014-12-15,57.43,58.240002,57.23,58.02,2722400,57.25494
2014-12-12,56.77,58.110001,56.50,57.27,3085900,56.514829
2014-12-11,57.220001,58.419998,56.75,56.900002,2696100,56.149709
2014-12-10,56.950001,57.48,56.59,56.740002,2672100,55.991819
2014-12-09,56.27,56.860001,55.869999,56.799999,2565800,56.051026
2014-12-08,56.759998,56.91,56.09,56.419998,2404000,55.676035
2014-12-05,56.869999,57.27,56.32,57.060001,3602200,55.922741
2014-12-04,57.98,58.080002,56.439999,56.810001,2944100,55.677724
2014-12-03,57.040001,58.240002,56.849998,58.209999,3030600,57.049818
2014-12-02,57.939999,58.330002,56.939999,57.23,2885800,56.089351
2014-12-01,59.389999,59.459999,57.049999,57.529999,3393500,56.383371
