Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,123.150002,123.669998,121.839996,122.029999,472000,121.256442
2014-12-30,123.309998,123.690002,122.489998,122.68,649400,121.902323
2014-12-29,121.889999,123.879997,121.190002,123.75,531300,122.96554
2014-12-26,122.650002,123.419998,122.360001,122.410004,313100,121.355812
2014-12-24,123.379997,123.559998,122.279999,122.50,230000,121.445033
2014-12-23,122.599998,123.959999,122.290001,123.300003,600700,122.238146
2014-12-22,120.580002,122.860001,120.50,122.449997,908900,121.39546
2014-12-19,118.739998,120.650002,117.309998,120.290001,1563300,119.254066
2014-12-18,117.269997,118.019997,115.830002,118.019997,1120700,117.003611
2014-12-17,112.540001,115.970001,110.919998,115.360001,1187500,114.366523
2014-12-16,110.709999,114.599998,110.160004,111.410004,1248200,110.450543
2014-12-15,110.660004,112.129997,109.800003,110.949997,1080200,109.994498
2014-12-12,110.599998,111.870003,109.57,109.620003,1054000,108.675958
2014-12-11,113.029999,113.540001,110.559998,111.870003,1154700,110.906581
2014-12-10,115.529999,115.739998,111.889999,112.239998,761700,111.27339
2014-12-09,111.93,115.330002,111.50,115.25,638600,114.25747
2014-12-08,116.919998,116.940002,113.279999,114.25,820700,113.266082
2014-12-05,118.43,119.050003,116.93,117.300003,509100,116.289818
2014-12-04,119.879997,120.480003,117.809998,118.449997,708900,117.429908
2014-12-03,119.300003,120.57,119.089996,120.239998,967300,119.204494
2014-12-02,115.379997,119.080002,115.230003,119.050003,1740300,118.024747
2014-12-01,117.989998,118.00,111.349998,115.470001,2225000,114.475576
