Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,109.57,109.769997,107.790001,107.900002,893700,107.900002
2014-12-30,108.139999,109.839996,108.050003,109.580002,1015000,109.580002
2014-12-29,107.940002,108.790001,107.57,108.400002,700200,108.400002
2014-12-26,108.00,108.980003,107.379997,108.25,822600,108.25
2014-12-24,107.239998,108.480003,106.650002,107.690002,784900,107.690002
2014-12-23,107.559998,107.580002,106.32,107.129997,973100,107.129997
2014-12-22,105.800003,108.019997,105.800003,107.139999,1103400,107.139999
2014-12-19,106.620003,107.449997,105.32,105.800003,2205300,105.800003
2014-12-18,103.709999,106.50,103.709999,106.440002,2071300,106.440002
2014-12-17,101.199997,103.980003,99.889999,103.559998,2369100,103.559998
2014-12-16,101.389999,104.309998,100.690002,101.900002,1449400,101.900002
2014-12-15,102.239998,102.720001,100.800003,101.360001,1209300,101.360001
2014-12-12,103.260002,104.029999,101.879997,101.919998,1219900,101.919998
2014-12-11,104.580002,105.150002,103.75,104.00,803500,104.00
2014-12-10,104.360001,105.00,103.389999,103.800003,1209600,103.800003
2014-12-09,104.290001,105.330002,103.980003,104.790001,1074800,104.790001
2014-12-08,106.150002,107.099998,105.209999,105.32,1419000,105.32
2014-12-05,105.089996,107.120003,104.800003,106.139999,1412400,106.139999
2014-12-04,105.769997,105.839996,103.970001,104.790001,1685700,104.790001
2014-12-03,104.93,106.00,104.220001,105.769997,1455100,105.769997
2014-12-02,104.599998,105.00,103.080002,104.849998,1572400,104.849998
2014-12-01,104.639999,105.239998,103.43,104.040001,1624600,104.040001
