Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,42.50,43.189999,42.25,42.32,4912400,42.177026
2014-12-30,41.919998,42.43,41.849998,42.169998,4188000,42.027531
2014-12-29,41.50,42.040001,41.209999,41.919998,4773800,41.778376
2014-12-26,41.709999,42.09,41.48,41.91,3209100,41.768411
2014-12-24,41.150002,41.919998,41.040001,41.66,2657400,41.519256
2014-12-23,41.389999,41.439999,40.57,40.98,4212000,40.841553
2014-12-22,40.220001,41.57,40.220001,41.259998,7304700,41.120606
2014-12-19,40.52,40.91,40.00,40.259998,17525300,40.123984
2014-12-18,40.32,40.77,39.740002,40.619999,8656600,40.482769
2014-12-17,39.580002,40.27,38.73,40.119999,12614600,39.984458
2014-12-16,41.810001,41.849998,39.529999,39.580002,10786800,39.446285
2014-12-15,41.68,42.099998,40.720001,41.580002,10030500,41.439528
2014-12-12,42.439999,42.439999,41.400002,41.41,10002800,41.270101
2014-12-11,42.009998,42.419998,41.740002,41.919998,9610800,41.778376
2014-12-10,41.650002,42.939999,41.360001,41.48,14704200,41.339864
2014-12-09,40.860001,40.970001,39.310001,40.73,11479400,40.592398
2014-12-08,41.349998,42.43,41.18,42.130001,10080800,41.927872
2014-12-05,41.740002,41.919998,40.990002,41.119999,8808000,40.922715
2014-12-04,42.150002,42.25,41.110001,41.389999,10850800,41.19142
2014-12-03,40.639999,41.16,40.02,41.049999,8186200,40.853051
2014-12-02,40.34,41.419998,40.27,40.459999,8573700,40.265882
2014-12-01,42.240002,42.52,40.459999,40.50,10629700,40.305691
