Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,87.18,87.540001,86.160004,86.160004,2861700,85.691258
2014-12-30,87.349998,87.75,86.510002,86.970001,2493300,86.496848
2014-12-29,87.639999,88.489998,87.50,87.68,2376100,87.202985
2014-12-26,87.900002,88.07,87.519997,87.769997,1508400,87.292492
2014-12-24,87.699997,88.300003,87.529999,87.769997,1219500,87.292492
2014-12-23,87.459999,87.849998,86.75,87.629997,2749700,87.153254
2014-12-22,86.75,86.970001,86.209999,86.830002,2561600,86.357611
2014-12-19,86.980003,87.290001,86.139999,86.440002,6262000,85.969733
2014-12-18,86.120003,86.919998,85.400002,86.919998,6442100,86.447117
2014-12-17,82.790001,84.870003,82.400002,84.730003,6443700,84.269037
2014-12-16,83.720001,84.970001,82.050003,82.639999,6970300,82.190404
2014-12-15,85.139999,85.290001,83.540001,84.610001,4921600,84.149687
2014-12-12,86.57,87.32,84.110001,84.129997,6644500,83.672295
2014-12-11,86.760002,88.18,86.75,87.690002,4078500,87.212933
2014-12-10,87.529999,88.029999,86.209999,86.330002,3277400,85.860331
2014-12-09,86.57,88.050003,86.400002,87.839996,3732400,87.36211
2014-12-08,89.040001,89.559998,87.879997,88.040001,4473300,87.561027
2014-12-05,89.870003,89.870003,88.849998,89.080002,3739900,88.59537
2014-12-04,88.379997,89.440002,88.139999,88.769997,3527900,88.287051
2014-12-03,88.209999,89.239998,87.68,88.32,6085400,87.839502
2014-12-02,87.910004,87.949997,86.540001,87.690002,5407300,87.212933
2014-12-01,86.559998,88.160004,86.349998,87.459999,4989800,86.98418
