Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,30.73,31.200001,30.719999,30.950001,4228700,30.078235
2014-12-30,30.620001,30.870001,30.469999,30.73,2689000,29.864431
2014-12-29,30.59,31.01,30.59,30.77,3814300,29.903305
2014-12-26,30.25,30.58,30.23,30.549999,2185200,29.689501
2014-12-24,30.440001,30.49,30.139999,30.219999,1189100,29.368796
2014-12-23,29.51,30.67,29.49,30.379999,5617200,29.524289
2014-12-22,29.620001,29.860001,28.90,29.559999,6830300,28.727386
2014-12-19,31.10,31.17,29.09,29.190001,22592600,28.367809
2014-12-18,31.030001,31.190001,30.82,31.190001,3664600,30.311475
2014-12-17,30.719999,30.870001,30.42,30.76,3102600,29.893587
2014-12-16,30.49,30.969999,30.459999,30.52,7196200,29.660347
2014-12-15,30.809999,30.969999,30.469999,30.58,4395600,29.718656
2014-12-12,30.950001,31.379999,30.74,30.75,4079900,29.883868
2014-12-11,30.290001,31.530001,30.26,31.15,6799800,30.272601
2014-12-10,30.83,31.190001,30.209999,30.26,4713800,29.40767
2014-12-09,30.440001,30.85,30.370001,30.780001,4084800,29.913024
2014-12-08,30.82,30.93,30.540001,30.799999,3493900,29.932459
2014-12-05,30.639999,30.969999,30.52,30.879999,2906300,30.010206
2014-12-04,30.16,30.719999,30.139999,30.68,3429200,29.81584
2014-12-03,30.51,30.68,30.040001,30.27,5077800,29.417389
2014-12-02,30.639999,31.09,30.469999,30.58,2849300,29.718656
2014-12-01,31.360001,31.459999,30.530001,30.57,3512100,29.708938
