Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,58.119999,58.279999,57.220001,57.240002,1261200,56.370106
2014-12-30,58.099998,58.290001,58.00,58.060001,915700,57.177644
2014-12-29,57.869999,58.549999,57.860001,58.299999,983000,57.413995
2014-12-26,58.34,58.540001,58.040001,58.060001,800200,57.177644
2014-12-24,58.41,58.59,58.290001,58.32,596700,57.433691
2014-12-23,58.459999,58.639999,58.279999,58.389999,1326800,57.502627
2014-12-22,57.810001,58.419998,57.810001,58.360001,1719500,57.473084
2014-12-19,58.099998,58.310001,57.82,57.990002,3064800,57.108708
2014-12-18,57.610001,57.830002,57.290001,57.830002,2486700,56.95114
2014-12-17,56.50,57.040001,56.119999,56.990002,1949900,56.123905
2014-12-16,56.23,57.09,56.049999,56.060001,1856100,55.208039
2014-12-15,56.939999,57.220001,56.080002,56.369999,2762100,55.513325
2014-12-12,56.990002,57.360001,56.48,56.50,1985800,55.64135
2014-12-11,57.720001,58.34,57.23,57.349998,2200600,56.478431
2014-12-10,58.040001,58.450001,57.360001,57.529999,2695800,56.655696
2014-12-09,58.130001,58.330002,57.84,58.080002,2049900,57.19734
2014-12-08,58.27,58.740002,58.16,58.560001,2519000,57.670045
2014-12-05,58.080002,58.560001,58.00,58.23,2195600,57.345059
2014-12-04,57.349998,58.00,57.349998,58.00,1979000,57.118554
2014-12-03,56.959999,57.549999,56.880001,57.50,1683600,56.626153
2014-12-02,56.540001,57.080002,56.540001,57.049999,1321400,56.182991
2014-12-01,56.50,56.93,56.310001,56.48,1279600,55.621654
