Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,166.00,167.169998,164.199997,164.320007,1623700,162.278125
2014-12-30,166.550003,166.740005,165.279999,165.839996,1180700,163.779226
2014-12-29,166.300003,167.119995,165.809998,166.710007,1215700,164.638425
2014-12-26,167.339996,167.809998,166.149994,166.259995,1607400,164.194005
2014-12-24,166.169998,167.610001,166.169998,166.960007,981600,164.885319
2014-12-23,168.020004,168.160004,166.869995,166.869995,2190200,164.796426
2014-12-22,166.220001,167.309998,166.139999,167.270004,2081600,165.191464
2014-12-19,164.779999,166.089996,164.360001,165.479996,4891300,163.423699
2014-12-18,162.399994,165.300003,162.00,165.300003,3359800,163.245943
2014-12-17,159.289993,160.889999,157.779999,160.600006,3942600,158.604349
2014-12-16,157.259995,161.440002,157.080002,159.050003,3380800,157.073607
2014-12-15,158.119995,158.440002,155.589996,156.850006,2609300,154.900948
2014-12-12,158.559998,158.990005,157.119995,157.119995,2820600,155.167582
2014-12-11,159.179993,160.220001,158.419998,159.149994,2437300,157.172355
2014-12-10,160.710007,160.809998,157.699997,158.240005,3243700,156.273674
2014-12-09,159.889999,161.100006,159.110001,160.830002,2043100,158.831487
2014-12-08,162.100006,162.800003,160.100006,160.929993,1898300,158.930235
2014-12-05,162.399994,162.899994,161.880005,162.270004,1722600,160.253595
2014-12-04,162.00,162.919998,160.899994,162.259995,2164200,160.24371
2014-12-03,161.100006,162.440002,160.169998,162.259995,3038800,160.24371
2014-12-02,158.779999,160.779999,158.539993,160.600006,2500400,158.604349
2014-12-01,158.350006,159.509995,157.860001,158.160004,2502100,156.194667
