Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,90.959999,91.110001,90.18,90.260002,3204200,44.690416
2014-12-30,90.50,91.660004,90.400002,90.639999,4362200,44.878564
2014-12-29,90.110001,91.230003,89.959999,91.059998,4696200,45.086518
2014-12-26,88.849998,90.739998,88.669998,89.720001,3188400,44.423046
2014-12-24,87.949997,89.110001,87.209999,88.620003,2568000,43.878404
2014-12-23,88.129997,88.839996,87.269997,88.379997,3625400,43.75957
2014-12-22,86.459999,87.599998,85.610001,87.290001,5983400,43.21988
2014-12-19,84.660004,87.32,84.120003,87.199997,8382800,43.175317
2014-12-18,86.169998,86.379997,81.580002,84.029999,6876400,41.605756
2014-12-17,81.769997,85.440002,81.220001,84.730003,7400800,41.952349
2014-12-16,80.75,84.160004,80.00,82.199997,6132200,40.699668
2014-12-15,83.480003,84.209999,81.160004,81.370003,7761000,40.288713
2014-12-12,80.480003,85.160004,80.480003,83.199997,7719400,41.194797
2014-12-11,85.25,86.739998,83.699997,83.879997,8591000,41.531486
2014-12-10,87.489998,88.489998,83.650002,85.059998,10562600,42.115739
2014-12-09,87.68,88.889999,86.110001,88.760002,14885200,43.947722
2014-12-08,91.309998,92.290001,88.269997,88.720001,7801600,43.927916
2014-12-05,96.360001,97.150002,91.980003,92.150002,9278000,45.626211
2014-12-04,97.00,97.099998,94.480003,96.669998,5024800,47.864196
2014-12-03,94.18,97.120003,94.18,96.019997,6801000,47.542361
2014-12-02,90.720001,95.110001,90.50,94.139999,8941600,46.611518
2014-12-01,89.400002,91.199997,89.25,90.790001,6449400,44.952834
