Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,28.15,28.799999,27.940001,28.290001,6082700,27.870514
2014-12-30,28.309999,28.709999,28.08,28.42,4477400,27.998586
2014-12-29,28.50,28.950001,28.360001,28.58,4900400,28.156213
2014-12-26,28.530001,28.67,28.129999,28.26,3279400,27.840959
2014-12-24,28.50,28.59,27.92,28.360001,3238000,27.939476
2014-12-23,28.52,28.799999,28.23,28.700001,8044000,28.274435
2014-12-22,28.18,28.700001,27.85,28.27,10711300,27.85081
2014-12-19,27.76,28.35,27.26,28.23,17719400,27.811403
2014-12-18,28.459999,28.49,26.809999,27.559999,19714300,27.151337
2014-12-17,25.41,27.17,25.280001,26.67,15846500,26.274535
2014-12-16,24.389999,26.02,24.280001,25.309999,13011400,24.934701
2014-12-15,25.790001,25.879999,24.65,24.799999,9969600,24.432263
2014-12-12,25.74,26.33,25.299999,25.450001,11410700,25.072626
2014-12-11,26.450001,26.950001,26.15,26.25,8571300,25.860763
2014-12-10,27.139999,27.18,26.32,26.43,10365000,26.038094
2014-12-09,27.15,27.969999,27.049999,27.780001,11294800,27.368076
2014-12-08,28.969999,29.17,27.16,27.25,12535100,26.845935
2014-12-05,29.77,29.870001,29.120001,29.23,8508900,28.796575
2014-12-04,30.24,30.299999,29.809999,29.84,8876400,29.39753
2014-12-03,30.10,31.01,29.82,30.530001,9051500,30.077299
2014-12-02,28.90,30.129999,28.74,29.73,12965800,29.289161
2014-12-01,28.52,29.040001,28.219999,28.99,11985700,28.560134
