Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,46.73,47.439999,46.450001,46.450001,21552500,45.823962
2014-12-30,47.439999,47.619999,46.84,47.02,16384700,46.38628
2014-12-29,47.700001,47.779999,47.259998,47.450001,14439500,46.810485
2014-12-26,48.41,48.41,47.82,47.880001,13197800,47.23469
2014-12-24,48.639999,48.639999,48.080002,48.139999,11437800,47.491184
2014-12-23,48.369999,48.799999,48.130001,48.450001,23648100,47.797007
2014-12-22,47.779999,48.119999,47.709999,47.98,26566000,47.33334
2014-12-19,47.630001,48.099998,47.169998,47.66,64551200,47.017653
2014-12-18,46.580002,47.52,46.34,47.52,40105600,46.879541
2014-12-17,45.049999,45.950001,44.900002,45.740002,34970900,45.123532
2014-12-16,45.900002,46.34,45.130001,45.16,47801400,44.551348
2014-12-15,47.200001,47.669998,46.549999,46.669998,29247800,46.040995
2014-12-12,46.779999,47.73,46.669998,46.950001,34248400,46.317224
2014-12-11,47.080002,47.740002,46.68,47.169998,29060400,46.534256
2014-12-10,47.580002,47.66,46.700001,46.900002,30431800,46.267898
2014-12-09,47.110001,47.919998,47.049999,47.59,24330500,46.948597
2014-12-08,48.259998,48.349998,47.450001,47.700001,26663100,47.057115
2014-12-05,48.82,48.970001,48.380001,48.419998,27313400,47.767409
2014-12-04,48.389999,49.060001,48.200001,48.84,30320400,48.18175
2014-12-03,48.439999,48.50,47.810001,48.080002,23534800,47.431995
2014-12-02,48.84,49.049999,48.200001,48.459999,25743000,47.806871
2014-12-01,47.880001,48.779999,47.709999,48.619999,31191600,47.964714
