Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,35.450001,35.529999,35.00,35.009998,10714300,35.009998
2014-12-30,35.43,35.740002,35.299999,35.400002,11480500,35.400002
2014-12-29,35.27,35.689999,35.080002,35.529999,12365800,35.529999
2014-12-26,35.029999,35.23,34.98,35.00,6883700,35.00
2014-12-24,35.029999,35.099998,34.619999,34.91,4672900,34.91
2014-12-23,34.919998,35.189999,34.759998,34.970001,10949000,34.970001
2014-12-22,34.75,35.00,34.50,34.639999,12687900,34.639999
2014-12-19,34.59,34.799999,34.130001,34.490002,18469600,34.490002
2014-12-18,34.619999,34.790001,34.049999,34.450001,18200600,34.450001
2014-12-17,33.080002,33.900002,32.50,33.830002,19434600,33.830002
2014-12-16,32.900002,33.919998,32.369999,32.919998,28611600,32.919998
2014-12-15,34.349998,34.450001,33.25,33.349998,27305700,33.349998
2014-12-12,34.919998,34.93,33.970001,34.00,19798900,34.00
2014-12-11,35.16,35.82,34.900002,35.189999,13261400,35.189999
2014-12-10,35.439999,35.650002,34.779999,34.860001,17037900,34.860001
2014-12-09,34.849998,35.709999,34.540001,35.66,16503500,35.66
2014-12-08,36.459999,36.59,35.700001,36.02,15815300,36.02
2014-12-05,36.09,36.50,36.02,36.490002,14114800,36.490002
2014-12-04,36.029999,36.50,35.669998,36.07,16477600,36.07
2014-12-03,35.900002,36.349998,35.740002,36.099998,29011500,36.099998
2014-12-02,35.049999,35.77,34.639999,35.599998,13963800,35.599998
2014-12-01,35.98,36.139999,34.939999,34.990002,21342300,34.990002
