Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,22.09,22.25,21.60,21.610001,1057800,21.260565
2014-12-30,21.83,22.040001,21.809999,21.985001,1645200,21.629501
2014-12-29,21.99,22.10,21.82,21.84,1055400,21.486846
2014-12-26,22.15,22.190001,21.924999,21.959999,836100,21.604904
2014-12-24,22.450001,22.690001,22.16,22.17,616900,21.811509
2014-12-23,22.709999,22.709999,22.33,22.35,1287300,21.988599
2014-12-22,22.43,22.639999,22.25,22.57,2311800,22.205041
2014-12-19,21.51,22.40,21.51,22.35,7128000,21.988599
2014-12-18,21.389999,21.58,21.219999,21.50,1684500,21.152343
2014-12-17,20.940001,21.27,20.83,21.26,1731700,20.916224
2014-12-16,21.040001,21.35,20.870001,20.879999,2667800,20.542368
2014-12-15,20.98,21.190001,20.889999,21.07,1976800,20.729296
2014-12-12,21.43,21.74,20.809999,20.83,1537000,20.493177
2014-12-11,21.35,21.620001,21.25,21.49,4588900,21.142505
2014-12-10,21.40,21.790001,21.26,21.280001,2887500,20.935901
2014-12-09,21.120001,21.49,21.076,21.49,2390600,21.142505
2014-12-08,21.01,21.49,20.950001,21.290001,2178000,20.94574
2014-12-05,20.85,21.23,20.85,21.00,2982800,20.660428
2014-12-04,20.799999,21.00,20.621,20.82,1446700,20.483339
2014-12-03,20.870001,21.030001,20.52,20.90,2040300,20.562045
2014-12-02,21.00,21.27,20.809999,20.969999,1323600,20.483338
2014-12-01,20.879999,21.23,20.73,20.91,2833400,20.424731
