Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,45.259998,45.470001,44.700001,44.73,1877600,44.203402
2014-12-30,45.27,45.52,45.02,45.290001,2158100,44.75681
2014-12-29,45.549999,45.790001,45.439999,45.490002,2754600,44.954456
2014-12-26,45.450001,45.889999,45.450001,45.73,3165900,45.191629
2014-12-24,45.189999,45.560001,45.189999,45.400002,868400,44.865516
2014-12-23,44.75,45.720001,44.639999,45.189999,2342100,44.657985
2014-12-22,44.169998,44.700001,44.139999,44.610001,2667100,44.084815
2014-12-19,44.540001,44.93,44.00,44.27,8554900,43.748818
2014-12-18,44.52,44.619999,44.130001,44.52,5078800,43.995875
2014-12-17,43.73,44.02,43.439999,43.799999,4521700,43.28435
2014-12-16,43.48,43.889999,43.27,43.490002,4987200,42.978002
2014-12-15,43.669998,43.950001,43.139999,43.41,5024600,42.898942
2014-12-12,43.189999,43.740002,42.75,43.349998,6334200,42.839647
2014-12-11,42.73,43.25,42.509998,43.060001,8502400,42.553064
2014-12-10,45.18,45.57,43.720001,43.77,4411500,43.254704
2014-12-09,43.75,45.439999,43.610001,45.169998,6019400,44.63822
2014-12-08,43.490002,44.049999,43.169998,43.740002,4182200,43.225059
2014-12-05,42.73,43.810001,42.73,43.529999,3450600,43.017528
2014-12-04,43.439999,43.529999,42.720001,42.810001,2629600,42.306007
2014-12-03,42.689999,43.82,42.16,43.759998,4520000,43.24482
2014-12-02,42.16,42.259998,41.330002,41.740002,3476900,41.248605
2014-12-01,41.720001,42.369999,41.599998,42.259998,4390000,41.762479
