Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,15.78,15.93,15.69,15.69,2476500,15.69
2014-12-30,15.60,15.86,15.53,15.77,2999700,15.77
2014-12-29,15.59,15.78,15.57,15.74,2359800,15.74
2014-12-26,15.55,15.61,15.51,15.57,1733300,15.57
2014-12-24,15.68,15.68,15.30,15.48,1496000,15.48
2014-12-23,15.41,15.67,15.34,15.61,2341300,15.61
2014-12-22,15.27,15.49,15.16,15.38,3942500,15.38
2014-12-19,15.06,15.28,15.06,15.22,6995400,15.22
2014-12-18,15.13,15.34,14.94,15.02,4005600,15.02
2014-12-17,14.63,14.93,14.59,14.89,3573300,14.89
2014-12-16,14.78,15.11,14.63,14.63,4151300,14.63
2014-12-15,15.09,15.18,14.74,14.76,3608400,14.76
2014-12-12,15.19,15.29,15.05,15.05,3817800,15.05
2014-12-11,15.60,15.60,15.23,15.33,3718800,15.33
2014-12-10,15.61,15.65,15.31,15.34,3756400,15.34
2014-12-09,15.37,15.70,15.36,15.69,3624100,15.69
2014-12-08,15.81,15.82,15.46,15.50,4257100,15.50
2014-12-05,15.71,15.84,15.63,15.82,3263700,15.82
2014-12-04,15.72,15.83,15.59,15.71,3567100,15.71
2014-12-03,15.72,15.81,15.62,15.79,4387400,15.79
2014-12-02,15.60,15.78,15.49,15.74,3290700,15.74
2014-12-01,15.67,15.69,15.41,15.56,3461000,15.56
